rep(cancerdir, nrow(sigplus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF417|147687	1	mod7	0.832783226827067	8.7467693900319e-14	1.60940556776587e-11	0.512038699564642
BRCA	ZNF81|347344	1	mod7	0.669054503264611	2.4888830100601e-13	3.05302982567372e-11	0.498936409434869
BRCA	ZNF841|284371	1	mod7	0.984328634260482	5.46848820959091e-13	5.03100915282364e-11	0.488847781963311
BRCA	ZNF678|339500	1	mod7	0.8328522631838	8.39921046605045e-13	6.18181890301313e-11	0.483264691491324
BRCA	ZNF573|126231	1	mod7	0.826385706207185	1.63873565683934e-12	1.00509120286146e-10	0.474450642041591
BRCA	ZNF611|81856	1	mod7	1.18758676766984	2.78708042420094e-12	1.46520799443706e-10	0.467343151431596
BRCA	ZNF655|79027	1	mod7	1.38690234693299	6.17165205299739e-12	2.8389599443788e-10	0.456528995959945
BRCA	ZNF585B|92285	1	mod7	1.01600330990314	1.60136964977715e-11	5.8930403111799e-10	0.443277759478931
BRCA	ZNF621|285268	1	mod7	1.09362078353788	4.16029076950346e-11	1.39180636652479e-09	0.429696379725829
BRCA	ZNF354C|30832	1	mod7	0.619588625329545	5.22786970700343e-11	1.57611439103528e-09	0.426399939072606
BRCA	ZNF791|163049	1	mod7	0.941187284521688	6.77057743172013e-11	1.77969463919501e-09	0.422646037102435
BRCA	ZNF829|374899	1	mod7	0.86355234389679	1.54188738986145e-10	3.54634099668133e-09	0.410540310267964
BRCA	ZNF224|7767	1	mod7	0.967970881165463	2.72165135786464e-10	5.75865801924578e-09	0.402040303968665
BRCA	ZNF221|7638	1	mod7	0.929097543648302	2.81673490071805e-10	5.75865801924578e-09	0.401522883271648
BRCA	ZNF75D|7626	1	mod3	1.6801306220682	1.07730456989479e-11	4.40497868579202e-10	0.392954729886639
BRCA	ZNF445|353274	1	mod7	1.03450247996465	6.34571032861574e-10	1.16202386868698e-08	0.389159270711708
BRCA	ZNF432|9668	1	mod7	0.866902351506639	6.68958285645691e-10	1.16202386868698e-08	0.388347567075609
BRCA	ZNF717|100131827	1	mod7	0.907096405488426	6.94688182367217e-10	1.16202386868698e-08	0.387766428840188
BRCA	ZNF234|10780	1	mod7	1.17704523317171	7.62287096869359e-10	1.21965935499097e-08	0.386334335115878
BRCA	ZNF720|124411	1	mod7	1.60538978051812	8.01211260262243e-10	1.22852393240211e-08	0.385564980925232
BRCA	ZNF41|7592	1	mod7	1.2379675634747	9.81590171613803e-10	1.44490073261552e-08	0.382418667032136
BRCA	ZKSCAN1|7586	1	mod7	0.479468950691862	1.27273606265108e-09	1.80141104252153e-08	0.378371393773988
BRCA	ZNF587|84914	1	mod7	0.491027586195299	1.40765947673406e-09	1.91858773125234e-08	0.376794643589901
BRCA	ZNF347|84671	1	mod7	0.980201639146208	1.47085985150661e-09	1.93313009055154e-08	0.376106184959944
BRCA	ZNF699|374879	1	mod7	0.788109661964272	2.22398306936424e-09	2.82215782595186e-08	0.369589537413523
BRCA	ZNF431|170959	1	mod7	0.829735023190978	2.36990756282106e-09	2.90708661039384e-08	0.368582168820998
BRCA	ZNF354B|117608	1	mod7	0.9668280135902	2.54829844163974e-09	3.02507685975299e-08	0.367429897848286
BRCA	ZNF471|57573	1	mod7	0.822109582389148	2.71348640852133e-09	3.12050936979953e-08	0.366431082092818
BRCA	ZNF585A|199704	1	mod7	0.960214198443757	7.04202038109406e-09	7.6219514713018e-08	0.351081173052724
BRCA	ZNF808|388558	1	mod7	1.14231741976163	7.38125722584768e-09	7.75253746490769e-08	0.35031488584728
BRCA	ZNF780B|163131	1	mod7	0.702920396072865	7.58400404175752e-09	7.75253746490769e-08	0.349873164421417
BRCA	ZNF701|55762	1	mod7	1.09472128547543	9.45203158680537e-09	9.40093952417399e-08	0.346273330132438
BRCA	ZNF845|91664	1	mod3	1.12012046053244	3.60480608006834e-10	6.98194019718499e-09	0.346197608178972
BRCA	ZSCAN29|146050	1	mod7	1.21278662720865	1.32098519014386e-08	1.27926986834984e-07	0.340764970339749
BRCA	ZNF141|7700	1	mod7	0.713868743457065	2.03506326672156e-08	1.82659337110618e-07	0.333589282690257
BRCA	ZNF382|84911	1	mod7	1.19615070061382	2.10140338552758e-08	1.83269153299453e-07	0.333053732424204
BRCA	ZNF846|162993	1	mod7	1.06914364315849	2.14146021518383e-08	1.83269153299453e-07	0.332738300866266
BRCA	ZNF121|7675	1	mod7	0.592245442648896	3.23317268352358e-08	2.70410806258335e-07	0.325821584452755
BRCA	ZNF727|442319	1	mod7	0.580767786268096	3.32451586432124e-08	2.71871519571159e-07	0.325351437756874
BRCA	ZNF708|7562	1	mod7	0.718692958381719	4.4845566267634e-08	3.58764530141072e-07	0.320281184271389
BRCA	ZNF778|197320	1	mod7	1.00136221369451	5.89686716048892e-08	4.61712152140409e-07	0.315612578286665
BRCA	ZNF570|148268	1	mod7	0.993452655245657	6.71274611439584e-08	5.14643868770348e-07	0.313392506956729
BRCA	ZNF493|284443	1	mod7	0.609179058708812	6.87367273175598e-08	5.16226850058408e-07	0.312985926607907
BRCA	ZNF441|126068	1	mod3	0.792996630594749	4.0245504270306e-09	4.48798350650685e-08	0.312101115560089
BRCA	ZNF264|9422	1	mod7	1.12267389842571	9.28651272220449e-08	6.83487336354251e-07	0.307803094386085
BRCA	ZNF510|22869	1	mod7	1.03897013593724	1.43395610106325e-07	1.03469773566917e-06	0.300255495151511
BRCA	ZNF813|126017	1	mod7	0.702875307933842	1.55991946800401e-07	1.10394300812592e-06	0.298784100942115
BRCA	ZNF660|285349	1	mod7	0.998007530249516	1.62505319376532e-07	1.12833882133139e-06	0.298068218078878
BRCA	ZNF429|353088	1	mod7	0.708588901566733	1.93313244520809e-07	1.29746684995834e-06	0.295022678722369
BRCA	ZNF737|100129842	1	mod7	0.435924074650346	3.08199423885684e-07	2.02376404609016e-06	0.286780222733966
BRCA	ZNF844|284391	1	mod7	0.579950519074589	3.13463452791139e-07	2.02376404609016e-06	0.286479310910082
BRCA	ZNF790|388536	1	mod7	1.22584164267854	3.37073186759692e-07	2.13867125392356e-06	0.285187753102731
BRCA	ZNF197|10168	1	mod7	1.21197449736959	4.41594071831107e-07	2.68226956935458e-06	0.280365414510126
BRCA	ZNF333|84449	1	mod7	1.10936614019557	4.44615336224536e-07	2.68226956935458e-06	0.280243296363379
BRCA	ZNF225|7768	1	mod7	0.936523817192746	4.91717245736139e-07	2.91857978114353e-06	0.278437686115139
BRCA	ZNF619|285267	1	mod7	0.826351829215311	5.66624136854471e-07	3.26431960776598e-06	0.275888222901601
BRCA	ZNF91|7644	1	mod7	0.540110631132736	5.70994775430289e-07	3.26431960776598e-06	0.275749834266316
BRCA	ZNF33A|7581	1	mod7	0.685893256037917	5.76578191589101e-07	3.26431960776598e-06	0.275574544070303
BRCA	ZNF776|284309	1	mod7	0.615229891132329	6.72942840444001e-07	3.69616366094615e-06	0.272785427971387
BRCA	ZNF83|55769	1	mod7	0.706166319622796	7.74932448377799e-07	4.13297305801493e-06	0.270230370229787
BRCA	ZNF483|158399	1	mod7	0.456291177081634	1.02973493172298e-06	5.41346364105794e-06	0.265058838321861
BRCA	ZNF519|162655	1	mod7	0.728653064307278	1.10514562007819e-06	5.72807870688414e-06	0.263768090502736
BRCA	ZNF37A|7587	1	mod7	0.770103269205032	1.16456744351898e-06	5.95223360020812e-06	0.262810315906006
BRCA	ZNF430|80264	1	mod7	0.680113343194771	1.52191414809461e-06	7.63913158185622e-06	0.257898968528697
BRCA	ZNF506|440515	1	mod7	1.23566593899662	1.54438930072605e-06	7.63913158185622e-06	0.25762910203879
BRCA	ZNF550|162972	1	mod7	0.550243311353583	1.55688822999787e-06	7.63913158185622e-06	0.257480680864687
BRCA	ZNF761|388561	1	mod7	0.967122099521376	1.66242716057445e-06	8.04964730383419e-06	0.256271990764775
BRCA	ZKSCAN3|80317	1	mod7	0.995328958159406	1.84774671681579e-06	8.830789503743e-06	0.254320723614329
BRCA	ZNF484|83744	1	mod7	1.06519559315162	1.91039237954849e-06	9.01313327786978e-06	0.253704221267487
BRCA	ZNF529|57711	1	mod7	0.823514464388764	2.04436825769939e-06	9.45144543965635e-06	0.252449562743297
BRCA	ZNF713|349075	1	mod7	0.529572873292659	2.05755643680491e-06	9.45144543965635e-06	0.252330438291946
BRCA	ZNF765|91661	1	mod7	1.04318469698429	2.08034532775045e-06	9.45144543965635e-06	0.252126343584382
BRCA	ZNF44|51710	1	mod7	0.848588827840147	2.24237497445662e-06	1.00633413487809e-05	0.25073533564108
BRCA	ZNF662|389114	1	mod7	0.580226097678031	2.50334623350961e-06	1.08997095942124e-05	0.248689427068287
BRCA	ZFP30|22835	1	mod7	0.662186809500307	2.5175959660545e-06	1.08997095942124e-05	0.248583812861088
BRCA	ZNF99|7652	1	mod7	1.0697603286816	2.84018270517831e-06	1.21533399477397e-05	0.24633746336409
BRCA	ZNF557|79230	1	mod7	0.79038514801106	3.00231692934682e-06	1.26994555172371e-05	0.24530113072647
BRCA	ZNF674|641339	1	mod7	0.959629936044449	3.22019715447651e-06	1.3466279009629e-05	0.243991569257217
BRCA	ZNF273|10793	1	mod7	0.532061278588838	3.29359376827092e-06	1.3618455131727e-05	0.243569884911973
BRCA	ZNF420|147923	1	mod7	0.790976662301263	3.6710995736938e-06	1.50107182568813e-05	0.241536673074991
BRCA	ZNF677|342926	1	mod3	0.929623490026919	4.44419089406892e-07	2.68226956935458e-06	0.240839223583627
BRCA	ZNF626|199777	1	mod7	0.504030012823564	4.31928525039776e-06	1.74669996939162e-05	0.238481211350689
BRCA	ZNF426|79088	1	mod7	0.739439200848524	4.45121321662721e-06	1.78048528665088e-05	0.237914680223804
BRCA	ZNF714|148206	1	mod7	0.452927033029951	4.53278979698704e-06	1.79362004870025e-05	0.237572536912815
BRCA	ZNF568|374900	1	mod7	0.882534186360953	5.37942869645438e-06	2.08382080031075e-05	0.23433989643458
BRCA	ZNF182|7569	1	mod3	1.16110301067713	7.45265438537457e-07	4.03320119679094e-06	0.232616642484032
BRCA	ZNF616|90317	1	mod7	0.73389955537301	6.63524906606978e-06	2.54351214199342e-05	0.230363244504905
BRCA	ZFP28|140612	1	mod7	1.08240354900866	6.86878697217107e-06	2.60589031521542e-05	0.229705946773303
BRCA	ZNF43|7594	1	mod7	0.561900467865867	7.00532083796018e-06	2.63056945751974e-05	0.229331732259626
BRCA	ZNF721|170960	1	mod7	0.737303196150926	7.36688486098928e-06	2.73839760489299e-05	0.228374225208441
BRCA	ZNF665|79788	1	mod7	0.703559465561634	8.86654351639294e-06	3.2628880140326e-05	0.224840152670241
BRCA	ZNF383|163087	1	mod7	0.995582149565625	9.71600560573238e-06	3.50538241461717e-05	0.223090145204271
BRCA	ZNF134|7693	1	mod7	0.727527701482552	1.06902426691414e-05	3.81942650703303e-05	0.221258810135052
BRCA	ZNF549|256051	1	mod7	0.755571372560769	1.13068294874053e-05	4.00087812631265e-05	0.220182453959606
BRCA	ZNF175|7728	1	mod7	0.742364404923387	1.25890303866473e-05	4.41215541170116e-05	0.218117116822873
BRCA	ZNF461|92283	1	mod7	0.834232455924726	1.3364669050993e-05	4.63980963279757e-05	0.216965597588178
BRCA	ZNF527|84503	1	mod7	1.29355713501322	1.36330992733621e-05	4.68876685289462e-05	0.216582286032959
BRCA	ZNF160|90338	1	mod3	0.851948921600079	2.30981339336685e-06	1.0241100346494e-05	0.214355126773333
BRCA	ZNF486|90649	1	mod7	0.390513467077903	2.37626021333282e-05	8.02260328905025e-05	0.205810199073009
