rep(cancerdir, nrow(sigplus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF780B|163131	1	mod7	1.16743327770538	6.43333794637206e-24	5.47204726133628e-22	0.730564386489976
BRCA	ZNF33A|7581	1	mod7	1.23282526761226	1.13734153761764e-20	3.62773572871738e-19	0.673946004865807
BRCA	ZNF662|389114	1	mod3	1.14880210552386	2.42412651764074e-24	5.47204726133628e-22	0.673679891471095
BRCA	ZNF141|7700	1	mod3	1.19716988734803	6.40852959834178e-24	5.47204726133628e-22	0.666821359210929
BRCA	ZNF83|55769	1	mod3	1.14137578048062	1.21017343685705e-22	7.72008982284608e-21	0.645210392319504
BRCA	ZNF84|7637	1	mod3	1.52251276745037	2.07504986278867e-22	1.05899341960224e-20	0.641096149911741
BRCA	ZNF525|170958	1	mod3	0.926206771926432	1.26693162110107e-21	5.38811248945501e-20	0.626943561124432
BRCA	ZNF776|284309	1	mod7	1.06969344291579	2.98203380830298e-18	4.75584080630879e-17	0.624253514406681
BRCA	ZNF841|284371	1	mod3	1.19648782275774	4.06053719391382e-21	1.48019925604031e-19	0.617541457957912
BRCA	ZNF10|7556	1	mod7	0.959168496823301	5.58219237819274e-17	6.27851368398109e-16	0.59517927113577
BRCA	ZNF432|9668	1	mod7	1.2333443532568	5.65913367350611e-17	6.27851368398109e-16	0.595038331765634
BRCA	ZNF493|284443	1	mod3	1.01381493450784	6.97715549695703e-20	1.97820193018004e-18	0.593587535063189
BRCA	ZNF12|7559	1	mod3	1.46541528012724	9.35306547643527e-20	2.38664982713781e-18	0.591036352315194
BRCA	ZNF273|10793	1	mod7	0.952458200957537	8.46990972346837e-17	8.31266276705621e-16	0.590864845488558
BRCA	ZNF169|169841	1	mod7	1.29788222686436	1.32861806197661e-16	1.16906022026451e-15	0.586155273383868
BRCA	ZNF782|158431	1	mod3	1.17022291309292	2.51316449077083e-19	5.82992487385694e-18	0.582314658489999
BRCA	ZNF483|158399	1	mod3	0.810861152035578	5.3574889188398e-19	1.13923879059195e-17	0.575511464386255
BRCA	ZNF700|90592	1	mod3	1.35136200414855	1.03597276189151e-18	2.0334791011051e-17	0.569495698074398
BRCA	ZNF529|57711	1	mod3	1.40504880721655	1.22065894958021e-18	2.22485151934545e-17	0.567986105783277
BRCA	ZNF793|390927	1	mod7	0.736008335914886	1.15880372425957e-15	7.78145865696947e-15	0.562741644593357
BRCA	ZNF320|162967	1	mod3	1.25148229493379	2.39399442001597e-18	4.072551673456e-17	0.561732956357297
BRCA	ZNF43|7594	1	mod3	1.02057745227142	3.2774641724576e-18	4.91953166418379e-17	0.558786497408444
BRCA	ZNF345|25850	1	mod3	1.44818521323913	5.87527762207929e-18	8.32895693482093e-17	0.553259350921617
BRCA	ZNF667|63934	1	mod3	0.799903354771886	9.59573006382702e-18	1.28872172589571e-16	0.548561264102869
BRCA	ZFP14|57677	1	mod3	1.12069383178403	1.13048089855306e-17	1.44234104204227e-16	0.546980696113295
BRCA	ZNF606|80095	1	mod7	1.04174929343052	5.34432162180754e-15	3.1714572324509e-14	0.545436737230987
BRCA	RBAK|57786	1	mod7	1.29211284997572	1.47675276138098e-14	7.69035592499557e-14	0.533560304271728
BRCA	ZNF430|80264	1	mod3	1.1647153541463	4.66098096428273e-17	5.66360247940449e-16	0.533091799532627
BRCA	ZNF562|54811	1	mod3	0.912880226762567	6.90847957921689e-17	7.34523957014606e-16	0.529159707471327
BRCA	ZNF136|7695	1	mod3	1.33896655074538	8.38714521868583e-17	8.31266276705621e-16	0.527209792570856
BRCA	ZNF439|90594	1	mod3	0.751208790946789	9.56207311490223e-17	9.03697383108443e-16	0.525887219377281
BRCA	ZNF605|100289635	1	mod7	1.20166935630949	3.14857371135e-14	1.4219306711697e-13	0.524516428627906
BRCA	ZNF417|147687	1	mod3	0.976923451748034	1.24873241269071e-16	1.13801000950605e-15	0.523183406360347
BRCA	ZNF260|339324	1	mod3	1.20469649973338	1.42329755719424e-16	1.20954090234648e-15	0.521852383920397
BRCA	ZNF681|148213	1	mod3	0.766853281072681	1.46942533818984e-16	1.20954090234648e-15	0.521527384821477
BRCA	ZNF587|84914	1	mod3	0.703991537384949	1.77196724680533e-16	1.41299439938194e-15	0.51961530800814
BRCA	ZNF551|90233	1	mod3	0.88712979330052	2.56480403545022e-16	1.9832386482926e-15	0.515816532356545
BRCA	ZNF107|51427	1	mod3	0.589659410473938	6.16329258113622e-16	4.62560556166094e-15	0.50669190627299
BRCA	ZNF675|171392	1	mod3	0.914194736310989	8.93079617202054e-16	6.51113742757309e-15	0.502781215864452
BRCA	ZNF268|10795	1	mod3	1.26933319079736	9.61209536485645e-16	6.81318683958189e-15	0.502002458393376
BRCA	ZNF655|79027	1	mod3	1.60100454308946	1.01074471505063e-15	6.97066936787592e-15	0.501469473009298
BRCA	ZNF121|7675	1	mod3	0.864289732664488	1.26594183622952e-15	8.2829277688961e-15	0.499074744386165
BRCA	ZNF91|7644	1	mod3	0.883815241380478	1.92968090395171e-15	1.23100618921433e-14	0.494560436103802
BRCA	ZNF33B|7582	1	mod3	0.597344826151575	2.15635334199122e-15	1.34205649496849e-14	0.49336442162654
BRCA	ZNF713|349075	1	mod7	0.850054875312539	4.22952595164996e-13	1.52008570199321e-12	0.492162049813989
BRCA	ZNF134|7693	1	mod7	1.24397506495172	5.12382871194241e-13	1.76684158307922e-12	0.489689589751564
BRCA	ZNF440|126070	1	mod3	1.18554604680237	5.12125994804643e-15	3.11144593398851e-14	0.483954399338696
BRCA	ZNF254|9534	1	mod3	1.0227150224648	5.91227426024349e-15	3.35256175914907e-14	0.482375401144022
BRCA	ZNF224|7767	1	mod3	1.20080109478759	6.20565775064686e-15	3.44242682302648e-14	0.48184191205607
BRCA	HKR1|284459	1	mod7	0.984097191093923	1.08332953965923e-12	3.63732176910217e-12	0.479925787401539
BRCA	ZNF37A|7587	1	mod2	1.23118474387043	5.49522976816834e-15	3.18689612544795e-14	0.479521019116338
BRCA	ZNF248|57209	1	mod7	1.4007644041399	1.29474649226785e-12	4.23569684150239e-12	0.477574281466567
BRCA	ZNF286A|57335	1	mod3	0.919503387007488	9.2422215968901e-15	5.01779885375806e-14	0.477433778686557
BRCA	ZNF708|7562	1	mod3	0.976415203009174	9.48506292568768e-15	5.04235836034591e-14	0.477145483540311
BRCA	ZNF304|57343	1	mod7	1.35255030402103	1.45876083405088e-12	4.65295482694228e-12	0.475995271954087
BRCA	ZNF625|90589	1	mod3	1.20243052501339	1.76782672005683e-14	9.02203314295901e-14	0.470177858700089
BRCA	ZNF311|282890	1	mod3	0.991684285388605	2.06705348817527e-14	1.03422794286053e-13	0.468413714651896
BRCA	ZNF93|81931	1	mod7	0.718226937342628	3.13717246321952e-12	8.79694204214361e-12	0.465746858069698
BRCA	ZNF721|170960	1	mod3	1.22878171297268	2.79658071257309e-14	1.35266309924299e-13	0.464987316521154
BRCA	ZNF714|148206	1	mod3	0.745120623962323	2.83563626366051e-14	1.35266309924299e-13	0.464829591336767
BRCA	ZNF44|51710	1	mod3	1.373932018761	2.86252094928102e-14	1.35266309924299e-13	0.464722249418441
BRCA	ZNF418|147686	1	mod3	0.84609542724716	2.92035561235568e-14	1.35490166978748e-13	0.464494641756643
BRCA	ZNF701|55762	1	mod3	1.45808320110317	3.18325199259717e-14	1.4219306711697e-13	0.463512728900686
BRCA	ZNF761|388561	1	mod3	1.40688729834762	3.23200249199676e-14	1.4219306711697e-13	0.463339413972393
BRCA	ZNF85|7639	1	mod3	1.17166731630215	5.18367564640229e-14	2.24192219255513e-13	0.457925030184183
BRCA	ZNF135|7694	1	mod3	1.12192957875213	5.53659854283327e-14	2.35465081626205e-13	0.457165915684924
BRCA	ZNF214|7761	1	mod3	1.02991808611765	6.0257152754155e-14	2.52065553506866e-13	0.456188723634312
BRCA	ZNF445|353274	1	mod7	1.2837446428617	7.60854005582287e-12	2.0436779290509e-11	0.453646551984305
BRCA	ZNF549|256051	1	mod3	1.31701728461411	1.42280181671799e-13	5.85581638116188e-13	0.446173754343836
BRCA	ZNF765|91661	1	mod3	1.61321911319149	1.56265759330149e-13	6.32933388035876e-13	0.445070046236202
BRCA	ZNF334|55713	1	mod3	0.552102413948946	2.11369613963595e-13	8.42747181892165e-13	0.441499861003473
BRCA	ZNF568|374900	1	mod6	1.3838668384212	1.43383066962271e-11	3.65874881173629e-11	0.440654723554845
BRCA	ZNF836|162962	1	mod3	1.22816798924923	3.11044809889393e-13	1.22108059918959e-12	0.436900980339533
BRCA	ZNF26|7574	1	mod3	1.25375841672127	3.26092441411373e-13	1.26075739858543e-12	0.436336068623317
BRCA	ZNF528|84436	1	mod3	1.03889409734907	3.62761332948628e-13	1.38159551588287e-12	0.435059823033925
BRCA	ZNF177|7730	1	mod3	1.06782604251096	3.74319232815756e-13	1.40464946484012e-12	0.434683665982571
BRCA	ZNF674|641339	1	mod3	1.48983188010245	3.9548407986925e-13	1.46256320637936e-12	0.434023427701024
BRCA	ZNF229|7772	1	mod3	0.803833136847341	4.1524110050325e-13	1.51369027961012e-12	0.433437622040954
BRCA	ZNF431|170959	1	mod3	1.01762973496799	5.88254933952656e-13	2.00142372568408e-12	0.429235002158067
BRCA	ZNF223|7766	1	mod2	1.07981635418941	4.70900824535667e-13	1.65444625461586e-12	0.428478944725098
BRCA	ZNF717|100131827	1	mod2	1.08910089576182	4.73304675810464e-13	1.65444625461586e-12	0.428417852361817
BRCA	ZNF250|58500	1	mod7	1.08394265090153	5.21270366819142e-11	1.1771161603254e-10	0.426441980891023
BRCA	ZNF497|162968	1	mod7	0.659858331686577	5.52846632092332e-11	1.23746961951935e-10	0.425590327646235
BRCA	ZNF514|84874	1	mod3	1.03113373141618	1.2186495431966e-12	4.03852553821334e-12	0.420348968063277
BRCA	ZNF627|199692	1	mod3	0.903006718947239	1.39163399735041e-12	4.49503075307433e-12	0.418715176321385
BRCA	ZNF682|91120	1	mod3	0.943643812793325	1.57048497326987e-12	4.94747371028868e-12	0.417223112302478
BRCA	ZNF732|654254	1	mod3	1.1670316173431	1.95129173486746e-12	5.85784678069719e-12	0.414534556237918
BRCA	ZNF829|374899	1	mod3	0.99912114963142	2.04617842556063e-12	6.07127323713953e-12	0.413944961299396
BRCA	ZNF75D|7626	1	mod2	1.68500548294211	1.59965476582255e-12	4.97791114835808e-12	0.413623312784158
BRCA	ZNF720|124411	1	mod2	1.77238961559223	1.68577961946462e-12	5.18271628803759e-12	0.412977988681366
BRCA	ZKSCAN1|7586	1	mod2	0.590325473135676	1.85227900440141e-12	5.62680476613525e-12	0.411817190665586
BRCA	ZNF611|81856	1	mod3	1.23835846742266	2.46483222913626e-12	7.22940974328915e-12	0.411627971165721
BRCA	ZNF567|163081	1	mod3	1.32304219430225	2.49984310020662e-12	7.24877814611537e-12	0.41145205699374
BRCA	ZNF354B|117608	1	mod3	1.04451703415361	2.56612090059837e-12	7.35735710532685e-12	0.411125550855737
BRCA	ZNF41|7592	1	mod6	1.46271296036576	1.42158530662168e-10	2.9491885780056e-10	0.40775876718861
BRCA	ZNF540|163255	1	mod2	0.809015509106896	2.8731455467075e-12	8.14610204497205e-12	0.406377676264301
BRCA	ZNF429|353088	1	mod2	0.93373021806707	3.19123400071488e-12	8.85126924818719e-12	0.405069443900122
BRCA	ZNF425|155054	1	mod7	0.914328298960366	2.44278733331396e-10	4.83204174686739e-10	0.403666320937649
BRCA	ZNF204P|7754	1	mod2	0.866425672371026	4.9235682731146e-12	1.35092657359593e-11	0.399637242923558
BRCA	ZFP90|146198	1	mod2	1.54698924144475	5.33986397966553e-12	1.44956291490596e-11	0.398615138318017
BRCA	ZNF253|56242	1	mod7	0.937319906839927	3.54045577990336e-10	6.84415713464313e-10	0.398066285314078
