rep(cancerdir, nrow(sigminus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF511|118472	1	mod3	-0.752578883712254	5.53642591116836e-15	7.02553357003434e-14	0.48309805566902
BRCA	ZNF32|7580	1	mod3	-0.940717684560743	2.56799144433718e-12	1.50003309764457e-11	0.411116456275739
BRCA	ZNF747|65988	1	mod3	-0.764410389193103	1.34884410425676e-05	2.38641649214657e-05	0.185137941290226
BRCA	ZNF768|79724	1	mod3	-0.414210757936209	2.71689462991781e-05	4.48348530856392e-05	0.173304698106411
COADREAD	ZNF511|118472	1	mod3	-0.793538982314068	1.74219529952402e-06	6.24545991397731e-05	0.563997916828256
COADREAD	ZNF32|7580	1	mod3	-0.500278142480248	1.79047769616321e-06	6.24545991397731e-05	0.563166323020184
KICHKIRCKIRP	ZNF267|10308	1	mod3	-0.323561963342177	3.14571756378676e-06	1.83749851345004e-05	0.163725799690371
LUADLUSC	ZNF511|118472	1	mod7	-0.712587987855315	5.38567117491998e-10	3.60350362249192e-09	0.362730736047466
LUADLUSC	ZNF32|7580	1	mod7	-0.576186876320914	2.38796316804329e-09	1.43769861366051e-08	0.340724254741763
LUADLUSC	ZNF627|199692	1	mod7	-0.447008698894392	6.43649438693584e-06	2.44188653030143e-05	0.211816657594595
LUADLUSC	ZNF468|90333	1	mod7	-0.691568212835525	1.01743455804114e-05	3.79469001137615e-05	0.203707293380448
