rep(cancerdir, nrow(sigplus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF841|284371	1	mod3	0.862516015418644	8.24550434321354e-28	3.03434559830258e-25	0.724964701385732
BRCA	ZNF141|7700	1	mod3	0.811431727655048	1.61827835352668e-25	2.97763217048909e-23	0.69204586183758
BRCA	ZNF655|79027	1	mod3	1.2352917386078	2.17959106046848e-24	2.67363170084134e-22	0.674421517849203
BRCA	ZNF417|147687	1	mod3	0.733321696552861	7.2200366092098e-24	6.64243368047301e-22	0.665970408256947
BRCA	ZNF662|389114	1	mod3	0.747378013228084	1.3942162874131e-22	1.02614318753604e-20	0.644134774737928
BRCA	ZNF780B|163131	1	mod3	0.735152991342769	2.15826153330691e-21	1.32373374042824e-19	0.622672075371751
BRCA	ZNF432|9668	1	mod7	0.822331534688551	1.03736052538009e-17	3.47044248490792e-16	0.612142148736176
BRCA	ZNF83|55769	1	mod3	0.738856544033694	9.20196889734884e-21	4.83760650603482e-19	0.610797526009545
BRCA	ZNF224|7767	1	mod3	0.885578134993538	8.33882853200944e-20	3.83586112472434e-18	0.592037431959809
BRCA	ZNF33A|7581	1	mod7	0.74841119412045	3.86948288873767e-16	7.49457738450243e-15	0.574757634468257
BRCA	ZNF587|84914	1	mod3	0.483512871353255	5.59341154592387e-18	2.2870838321111e-16	0.553727524528903
BRCA	ZNF37A|7587	1	mod3	0.890301497475922	9.89360088517237e-18	3.47044248490792e-16	0.548266893538067
BRCA	ZNF611|81856	1	mod3	0.948769023879006	1.27187556702082e-17	3.90041840553051e-16	0.545840918552765
BRCA	ZNF483|158399	1	mod3	0.52378119198093	1.79504290224234e-17	5.08135221557832e-16	0.542492530735135
BRCA	ZNF431|170959	1	mod3	0.759758768648294	2.19972919636966e-17	5.78214531617167e-16	0.540505312945954
BRCA	ZNF776|284309	1	mod7	0.653899367396222	8.67296045180692e-15	1.06388314875498e-13	0.539816696595818
BRCA	ZNF354B|117608	1	mod3	0.793820387286349	3.32541400679403e-17	8.15834903000136e-16	0.536439666728515
BRCA	ZNF121|7675	1	mod3	0.595391597022455	3.83114755348378e-17	8.81163937301269e-16	0.535038778427644
BRCA	ZNF81|347344	1	mod3	0.539602660354871	7.30839119800963e-17	1.58205174168679e-15	0.528594767119776
BRCA	ZNF829|374899	1	mod3	0.749691622175281	8.99221714736487e-17	1.83840883901682e-15	0.526507526276254
BRCA	ZNF445|353274	1	mod7	0.908453369528299	2.85105691118995e-14	2.99768269519401e-13	0.525711837277277
BRCA	ZNF573|126231	1	mod7	0.647921395446146	9.57808440786744e-14	8.81183765523805e-13	0.510914531487097
BRCA	ZNF169|169841	1	mod3	0.865202364479768	4.51207143687604e-16	8.30221144385191e-15	0.509956729330312
BRCA	ZNF529|57711	1	mod3	0.884324481014582	5.29234261460013e-16	9.27420039129928e-15	0.50828952428899
BRCA	ZNF493|284443	1	mod3	0.621532837326289	7.96010763129709e-16	1.33150891287151e-14	0.503997675120963
BRCA	ZNF84|7637	1	mod3	0.8961975553054	9.78554379886819e-16	1.56568700781891e-14	0.501812834329062
BRCA	ZNF701|55762	1	mod3	1.00764813579514	1.15089185489454e-15	1.76470084417163e-14	0.500089615526748
BRCA	ZNF41|7592	1	mod7	1.06813131793029	2.53368330338395e-13	2.07198990143399e-12	0.498709931455112
BRCA	ZNF12|7559	1	mod3	0.893470967890781	1.63368891529993e-15	2.4047900833215e-14	0.4963483987137
BRCA	ZNF621|285268	1	mod3	0.873257830622969	4.15890655835354e-15	5.88645235951578e-14	0.486234321898086
BRCA	ZNF717|100131827	1	mod3	0.79846101758138	4.87365612841397e-15	6.44189905080549e-14	0.484498100794586
BRCA	ZNF585B|92285	1	mod3	0.817449075504227	4.9014449299607e-15	6.44189905080549e-14	0.484435749573469
BRCA	ZNF678|339500	1	mod3	0.639511782616086	9.68528342898293e-15	1.12490209699623e-13	0.476913171967385
BRCA	ZKSCAN1|7586	1	mod3	0.436434964075601	9.78175736518465e-15	1.12490209699623e-13	0.476802909161118
BRCA	ZNF10|7556	1	mod3	0.608498048386431	1.41274185929029e-14	1.57542122490553e-13	0.472697440170614
BRCA	ZNF708|7562	1	mod3	0.643697402511583	2.05747915169283e-14	2.22691861124401e-13	0.468466173624333
BRCA	ZNF304|57343	1	mod7	0.881247000981077	2.73470655475534e-12	1.53588657584552e-11	0.467598641049771
BRCA	ZNF91|7644	1	mod3	0.56973245280125	2.97837219934387e-14	3.04455824821817e-13	0.46427071060654
BRCA	ZSCAN29|146050	1	mod3	1.16067537133651	3.1839234284628e-14	3.16671303155219e-13	0.463510324246078
BRCA	ZNF135|7694	1	mod7	0.789291721815808	4.36407859752053e-12	2.29425846269651e-11	0.461269255017756
BRCA	ZNF234|10780	1	mod3	1.00047476042985	3.96266308232084e-14	3.83752635340545e-13	0.461009966001657
BRCA	ZNF525|170958	1	mod3	0.527048850448074	4.88252081297139e-14	4.60709656198326e-13	0.458613944656447
BRCA	ZNF720|124411	1	mod3	1.24356221354962	1.4334456111799e-13	1.28660484125416e-12	0.446086098142955
BRCA	ZNF430|80264	1	mod3	0.707775437486425	1.6098061759267e-13	1.41049683985958e-12	0.444719678197941
BRCA	ZNF345|25850	1	mod3	0.862477835231684	1.81369705771457e-13	1.55218724939293e-12	0.443311914706942
BRCA	ZNF134|7693	1	mod7	0.77736408866005	1.69050452348648e-11	7.87475524864588e-11	0.442515634324417
BRCA	ZNF562|54811	1	mod3	0.554785607214231	2.11153336016251e-13	1.76600971940865e-12	0.441511999129085
BRCA	ZNF791|163049	1	mod3	0.732693076461383	3.32817840641474e-13	2.6625427251318e-12	0.436091796327217
