rep(cancerdir, nrow(sigplus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF841|284371	1	mod3	0.695782473725415	1.36687204936828e-21	3.8896299931845e-19	0.626337680456381
BRCA	ZNF655|79027	1	mod3	1.03027306040336	2.11392934412201e-21	3.8896299931845e-19	0.622839398639683
BRCA	ZNF417|147687	1	mod3	0.595742129077251	2.19303874485045e-19	2.69012752701656e-17	0.583527776512221
BRCA	ZNF573|126231	1	mod7	0.587648240970008	8.94909089391812e-16	3.65918383217985e-14	0.5656023802787
BRCA	ZNF224|7767	1	mod3	0.737380938130402	1.3940342183838e-17	1.2825114809131e-15	0.544952002860018
BRCA	ZNF141|7700	1	mod3	0.623331433633732	1.8524017624802e-17	1.36336769718543e-15	0.542185634926383
BRCA	ZNF354B|117608	1	mod3	0.689106618548297	3.24026421350655e-17	1.98736205095068e-15	0.536695895080269
BRCA	ZNF81|347344	1	mod3	0.460654881565845	3.90877211895001e-16	2.05489734253372e-14	0.51145225162927
BRCA	ZNF471|57573	1	mod3	0.651648215103495	5.06269841625978e-16	2.3288412714795e-14	0.508753764375993
BRCA	ZNF333|84449	1	mod3	0.968898090432492	1.57155862645039e-15	5.3331498080931e-14	0.496763834867705
BRCA	ZNF611|81856	1	mod3	0.785409373341284	1.59414804046261e-15	5.3331498080931e-14	0.496610959037376
BRCA	ZNF83|55769	1	mod3	0.57341125417851	3.40542355527126e-15	1.04432989028319e-13	0.488414434026278
BRCA	ZNF717|100131827	1	mod3	0.695133522209068	3.69389495687197e-15	1.04565641856068e-13	0.487528661228538
BRCA	ZNF621|285268	1	mod3	0.757368578474621	4.41827976297584e-15	1.16137639483936e-13	0.485572680806134
BRCA	ZNF431|170959	1	mod3	0.622560218363064	6.21458033697684e-15	1.52464370933832e-13	0.481826077000484
BRCA	ZNF445|353274	1	mod7	0.748198825477596	1.08559040770289e-12	1.21059778798383e-11	0.479898348101889
BRCA	ZNF780B|163131	1	mod3	0.558844841454265	9.0142516989219e-15	2.07245703559464e-13	0.477711250370097
BRCA	ZNF791|163049	1	mod3	0.665076894713467	9.5738504361709e-15	2.07245703559464e-13	0.477041878440083
BRCA	ZNF585B|92285	1	mod3	0.703116828266382	1.06779739055683e-14	2.18305244291618e-13	0.475826691370575
BRCA	ZNF678|339500	1	mod3	0.545015418044354	4.37539939674107e-14	8.47445777895112e-13	0.45987397972554
BRCA	ZNF347|84671	1	mod3	0.66441936128555	7.24098655217738e-14	1.33234152560064e-12	0.45406211088999
BRCA	ZKSCAN1|7586	1	mod3	0.368545886606741	9.10406826161518e-14	1.59537958108304e-12	0.451400468696146
BRCA	ZNF75D|7626	1	mod3	1.04058906451761	1.68754345124222e-13	2.82279995480517e-12	0.444163377030819
BRCA	ZNF234|10780	1	mod3	0.850955882756018	1.89662567367137e-13	2.90191921640084e-12	0.442783240515591
BRCA	ZNF662|389114	1	mod3	0.537307106306159	2.02669206181622e-13	2.90191921640084e-12	0.441998020545474
BRCA	ZNF354C|30832	1	mod3	0.406315590735787	2.05026901158755e-13	2.90191921640084e-12	0.441860987478523
BRCA	ZNF587|84914	1	mod3	0.374577328479233	2.16660435909786e-13	2.95300149684449e-12	0.441206652887922
BRCA	ZNF829|374899	1	mod3	0.594614795717419	2.45265171822737e-13	3.20047604639196e-12	0.439733685465936
BRCA	ZNF846|162993	1	mod3	0.795576393452683	2.52211427568932e-13	3.20047604639196e-12	0.43940144101089
BRCA	ZNF37A|7587	1	mod3	0.688529809352968	3.5397210938005e-13	4.34205787506195e-12	0.43535381420294
BRCA	ZNF121|7675	1	mod3	0.465235545575252	4.05760553650085e-13	4.81677044333005e-12	0.43371523716273
BRCA	ZNF169|169841	1	mod3	0.68342905807181	1.0278039559047e-12	1.18197454929041e-11	0.422438854665041
BRCA	ZNF432|9668	1	mod3	0.599586687004008	1.47701635471197e-12	1.59865299568825e-11	0.417980805305841
BRCA	ZNF699|374879	1	mod3	0.551848546476727	1.57270068473507e-12	1.65358243423573e-11	0.417205691914416
BRCA	ZNF221|7638	1	mod3	0.587723394596892	3.07425265288022e-12	3.14256937849978e-11	0.40886649219575
BRCA	ZNF41|7592	1	mod7	0.830588477857921	2.11470062908885e-10	1.69849369834411e-09	0.40582916875379
BRCA	ZNF660|285349	1	mod3	0.776035701969551	1.13336795563451e-11	1.12724164236081e-10	0.392302397653622
BRCA	ZSCAN29|146050	1	mod3	0.926321177715781	1.16406262655695e-11	1.12730275413936e-10	0.391958515574489
BRCA	ZNF483|158399	1	mod3	0.385068034278971	1.43410930566624e-11	1.35321083201328e-10	0.389267318906214
BRCA	ZNF701|55762	1	mod3	0.762166374090188	2.9563198271515e-11	2.71981424097938e-10	0.379846944895935
BRCA	ZNF382|84911	1	mod3	0.846421083422992	7.27156265362243e-11	6.37127394412632e-10	0.367932090860667
BRCA	ZKSCAN3|80317	1	mod3	0.827869727151332	9.5771434171719e-11	8.19625297097502e-10	0.364242648195745
BRCA	ZNF514|84874	1	mod3	0.553595600889115	1.02015834981971e-10	8.53223347121942e-10	0.363393600399785
BRCA	ZNF844|284391	1	mod3	0.425805429224647	2.12311712293013e-10	1.69849369834411e-09	0.353462259961606
BRCA	ZNF585A|199704	1	mod3	0.626121243128696	2.29640238854467e-10	1.79803421060519e-09	0.352390442576368
BRCA	ZNF493|284443	1	mod3	0.447350106887487	3.49184919407127e-10	2.67708438212131e-09	0.346636675705634
BRCA	ZNF529|57711	1	mod3	0.632051643092683	4.0106002323139e-10	3.01204262345207e-09	0.344724409969469
BRCA	ZNF674|641339	1	mod3	0.762658320069116	5.2006344401871e-10	3.8276669479777e-09	0.341122752769681
