rep(cancerdir, nrow(sigminus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF511|118472	1	mod3	-0.808496269466872	1.70558610374831e-15	2.09218562059793e-14	0.495886543966279
BRCA	ZNF32|7580	1	mod3	-1.01674466601524	6.99437739489456e-13	4.15150142148581e-12	0.427134941645035
BRCA	ZNF747|65988	1	mod3	-0.816029158619871	1.16132939107505e-05	2.04233380226475e-05	0.187650045202122
BRCA	ZNF768|79724	1	mod3	-0.445465819412988	2.02648074896102e-05	3.45252275748914e-05	0.178275396291543
BRCA	ZNF205|7755	1	mod3	-0.336140582660906	4.80177908433627e-05	7.75023992559539e-05	0.163584312816509
LUADLUSC	ZNF511|118472	1	mod7	-0.731871987244631	4.03141004838014e-10	2.8529978803921e-09	0.366928757357828
LUADLUSC	ZNF32|7580	1	mod7	-0.594498725664528	1.48281366349679e-09	9.57325312573369e-09	0.347842240556614
LUADLUSC	ZNF627|199692	1	mod7	-0.464170413338388	4.27104551603503e-06	1.76600533696729e-05	0.219021731812573
LUADLUSC	ZNF468|90333	1	mod7	-0.700049448340843	1.24090090190048e-05	4.9636036076019e-05	0.200169592661633
THCA	ZNF511|118472	1	mod15	-0.650182922257544	1.51474940141109e-06	1.01350505403506e-05	0.442973297126109
THCA	ZNF768|79724	1	mod15	-0.756806782698263	2.8098458819152e-06	1.81407593779788e-05	0.426002785008347
