rep(cancerdir, nrow(sigplus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF841|284371	1	mod3	0.923532489078452	6.85822889837369e-29	2.52382823460152e-26	0.739233997816338
BRCA	ZNF141|7700	1	mod3	0.867560337352401	2.71240239742961e-26	4.99082041127048e-24	0.703599195912967
BRCA	ZNF655|79027	1	mod3	1.32942409774993	1.07551081577241e-25	1.31929326734748e-23	0.694727496779232
BRCA	ZNF417|147687	1	mod3	0.790099155042138	3.17016465599673e-25	2.91655148351699e-23	0.687581381484453
BRCA	ZNF662|389114	1	mod3	0.794591118736679	8.87201073734732e-23	6.52979990268763e-21	0.64755785335403
BRCA	ZNF780B|163131	1	mod3	0.788773772514378	3.29306213958962e-22	2.0197447789483e-20	0.63753481420412
BRCA	ZNF432|9668	1	mod7	0.891371782088515	9.37164891048052e-19	3.44876679905683e-17	0.635163700424189
BRCA	ZNF224|7767	1	mod3	0.941567511910316	5.76407280830915e-20	3.03025541922538e-18	0.595241738264551
BRCA	ZNF83|55769	1	mod3	0.772045593376742	7.3453219603961e-20	3.3788481017822e-18	0.593141031725572
BRCA	ZNF611|81856	1	mod3	1.03627704820998	3.57882123693528e-19	1.46334023910242e-17	0.579151124751805
BRCA	ZNF33A|7581	1	mod7	0.794675266322572	4.87264126954489e-16	8.5387237485358e-15	0.572259623232596
BRCA	ZNF587|84914	1	mod3	0.518670944501754	1.40200414531176e-18	4.69034114067933e-17	0.566707450808736
BRCA	ZNF431|170959	1	mod3	0.820417528382363	2.71678239352839e-18	8.3314660068204e-17	0.560548812115464
BRCA	ZNF121|7675	1	mod3	0.645633799508936	3.01833971852998e-18	8.54422320322333e-17	0.559560982838939
BRCA	ZNF483|158399	1	mod3	0.562180470883177	4.48335957171737e-18	1.17848308742285e-16	0.5558281322097
BRCA	ZNF776|284309	1	mod7	0.70435235752599	2.73223596624659e-15	3.24342850186691e-14	0.553113090398929
BRCA	ZNF354B|117608	1	mod3	0.853765187293178	6.78571631596752e-18	1.6647624028507e-16	0.551884659061777
BRCA	ZNF37A|7587	1	mod3	0.946582113718984	7.26976919281389e-18	1.67204691434719e-16	0.55122569395817
BRCA	ZNF829|374899	1	mod3	0.811357172669042	9.68001364106462e-18	2.09543824700693e-16	0.548477073313126
BRCA	ZNF81|347344	1	mod3	0.581877865476743	1.16617836418072e-17	2.38418687788057e-16	0.546680294381935
BRCA	ZNF573|126231	1	mod7	0.703424066469457	1.71327788081121e-14	1.6591743687856e-13	0.531799067290588
BRCA	ZNF445|353274	1	mod7	0.968339309992593	2.4603617608862e-14	2.32157212309262e-13	0.527481355883593
