rep(cancerdir, nrow(sigminus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF511|118472	1	mod3	-0.871332965747246	2.33391705723866e-18	9.54312752293139e-17	0.561970512768752
BRCA	ZNF32|7580	1	mod3	-1.03200667158226	5.82038522417459e-13	4.06896810512167e-12	0.429363635052071
BRCA	ZNF768|79724	1	mod3	-0.53499444627197	2.34681276225936e-07	5.14063747923478e-07	0.250888144708869
BRCA	ZNF747|65988	1	mod3	-0.952979771869794	2.53137893633898e-07	5.5121150803121e-07	0.249702929675091
BRCA	ZNF18|7566	1	mod7	-0.836646108428861	4.99946727466757e-06	8.93108717027993e-06	0.235724107505014
BRCA	ZNF205|7755	1	mod3	-0.40722638530484	6.72542278635461e-07	1.36737877645221e-06	0.234255895835757
BRCA	ZNF71|58491	1	mod3	-0.709022901516687	1.14763470674599e-05	1.94621922618675e-05	0.187848864859721
BRCA	ZNF584|201514	1	mod3	-1.00942890677017	4.34664278569042e-05	6.74921749001718e-05	0.16529015052923
CHOLLIHC	ZNF768|79724	1	mod3	-0.813660288972718	1.08739318889929e-09	2.98778135040964e-07	0.487889476349299
CHOLLIHC	ZNF282|8427	1	mod3	-0.910470516455097	8.46054739348128e-07	7.78370360200277e-05	0.353884477741884
KICHKIRCKIRP	ZNF583|147949	1	mod3	-0.498232902262225	6.741017903167e-08	5.63794224628513e-07	0.213211051694913
KICHKIRCKIRP	ZNF189|7743	1	mod3	-0.391660355181042	5.23753830112006e-07	3.44181088359318e-06	0.18712624143733
KICHKIRCKIRP	ZNF267|10308	1	mod3	-0.384244014238061	5.9855668231152e-07	3.79773894983861e-06	0.185402495803962
KICHKIRCKIRP	ZNF124|7678	1	mod3	-0.42197348471918	6.58322570620026e-07	4.10614755912152e-06	0.184171746104111
KICHKIRCKIRP	ZNF671|79891	1	mod3	-0.263792718433519	1.31005670934862e-06	7.08971866235724e-06	0.175227198247923
KICHKIRCKIRP	ZNF268|10795	1	mod3	-0.396255346405176	2.92216373425322e-06	1.4531841273043e-05	0.16469861089058
KICHKIRCKIRP	ZNF470|388566	1	mod3	-0.362973971268819	3.94687733049686e-06	1.86132855587205e-05	0.16072616284474
LUADLUSC	ZNF511|118472	1	mod7	-0.471921811835037	2.39306158875854e-06	1.37601041353616e-05	0.229103718588138
PRAD	ZNF689|115509	1	mod7	-0.766327685953209	2.11844757556179e-07	7.79588707806738e-05	0.469015027991925
