rep(cancerdir, nrow(sigplus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF841|284371	1	mod3	0.924234591705438	1.27774650225353e-27	4.70210712829298e-25	0.722372107365163
BRCA	ZNF655|79027	1	mod3	1.32892281193054	1.43122889352467e-24	2.63346116408539e-22	0.677338656965165
BRCA	ZNF662|389114	1	mod7	0.751130618299985	1.3607927397608e-20	8.34619547053291e-19	0.672451904802371
BRCA	ZNF417|147687	1	mod3	0.790310069754837	3.43583592254833e-24	4.21462539832595e-22	0.671235472178754
BRCA	ZNF141|7700	1	mod3	0.85527412322731	6.07741479842245e-24	5.59122161454865e-22	0.667199290729126
BRCA	ZNF780B|163131	1	mod3	0.789357200843646	2.08070477005724e-21	1.53139871076213e-19	0.62296706559318
BRCA	ZNF431|170959	1	mod7	0.84488561540359	6.57130085012181e-18	2.41823871284483e-16	0.616621697098195
BRCA	ZNF432|9668	1	mod7	0.855937501108632	1.1826972686629e-17	3.95665995334496e-16	0.61084613275454
BRCA	ZNF83|55769	1	mod3	0.785963109350502	3.39775776445456e-20	1.7862497961704e-18	0.599784654401126
BRCA	ZNF611|81856	1	mod3	1.05736454993735	1.27628090618707e-19	5.87089216846054e-18	0.588313198334631
BRCA	ZNF587|84914	1	mod7	0.475595775916678	5.80993534449348e-16	1.01812200322552e-14	0.570343383016841
BRCA	ZNF354B|117608	1	mod3	0.85832763907372	1.49891490174769e-17	4.59667236535959e-16	0.544247680793069
BRCA	ZNF224|7767	1	mod3	0.910618726865052	1.66447995332296e-17	4.71175863709885e-16	0.543228510729521
BRCA	ZNF493|284443	1	mod3	0.690974112629407	2.18914236554726e-17	5.7543170751528e-16	0.540552567598535
BRCA	ZNF483|158399	1	mod3	0.560317159065799	2.63436678758656e-17	6.46297985221236e-16	0.538735771945844
BRCA	ZNF33A|7581	1	mod7	0.754756076996086	9.78806720298719e-15	1.3340773076664e-13	0.538402120926481
BRCA	ZNF121|7675	1	mod3	0.637063330309482	5.43077867528766e-17	1.19400111638385e-15	0.531568304994522
BRCA	ZNF529|57711	1	mod3	0.970655818106547	5.51576602677321e-17	1.19400111638385e-15	0.531413266780725
BRCA	ZNF776|284309	1	mod7	0.670809025172101	3.49594869969188e-14	4.02034100464566e-13	0.523252845386497
BRCA	ZNF829|374899	1	mod3	0.800588531106247	1.54118668851936e-16	3.15087056319514e-15	0.521041123976866
BRCA	ZNF81|347344	1	mod3	0.570582029407562	3.40332996981449e-16	6.5917127836407e-15	0.512890764399672
BRCA	ZNF169|169841	1	mod7	0.830675821746763	8.937212881027e-14	9.39684097205124e-13	0.511772235909658
BRCA	ZNF708|7562	1	mod3	0.71907710670727	5.8068188317152e-16	1.01812200322552e-14	0.507317278185065
BRCA	ZNF573|126231	1	mod7	0.67082766394747	1.60861478950841e-13	1.44382985985145e-12	0.50444621322121
BRCA	ZNF84|7637	1	mod3	0.963264208501643	8.6801999634142e-16	1.45196072115292e-14	0.503082380535916
BRCA	ZNF37A|7587	1	mod3	0.914304372465281	9.81581654917264e-16	1.57053064786762e-14	0.501780076025622
BRCA	ZNF701|55762	1	mod3	1.08073790642032	1.24977674628483e-15	1.91632434430341e-14	0.499211749897875
BRCA	ZNF12|7559	1	mod3	0.956796638100738	2.043148579117e-15	3.00751470846022e-14	0.493945485985315
BRCA	ZNF445|353274	1	mod7	0.912514335350384	5.59468362538001e-13	4.06896810512167e-12	0.488552447445655
BRCA	ZNF717|100131827	1	mod7	0.801451894928119	5.65598198846628e-13	4.06896810512167e-12	0.488411327933921
BRCA	ZNF678|339500	1	mod3	0.693286305129594	4.10141352764851e-15	5.80507760836405e-14	0.486386446265482
BRCA	ZKSCAN1|7586	1	mod7	0.424964768514739	1.111264622102e-12	7.05078242988856e-12	0.479590601753357
BRCA	ZNF585B|92285	1	mod3	0.867772756756433	1.2870798632199e-14	1.67898757978845e-13	0.473740810926295
BRCA	ZNF347|84671	1	mod3	0.839162092437083	1.32311521233329e-14	1.67898757978845e-13	0.47343175031003
BRCA	ZNF621|285268	1	mod3	0.922895774093716	1.60272965761219e-14	1.96601504667096e-13	0.471281024171513
BRCA	ZNF41|7592	1	mod7	1.08044422371926	2.28804729155843e-12	1.38033016933361e-11	0.469994471052752
BRCA	ZNF273|10793	1	mod7	0.580193880099247	2.7919423088566e-12	1.58066887639882e-11	0.467319672282703
BRCA	ZNF75D|7626	1	mod3	1.31627767909532	2.91117110040657e-14	3.45584182241812e-13	0.464530490846705
BRCA	ZNF720|124411	1	mod3	1.35657874911353	4.0828617168926e-14	4.5530094297469e-13	0.460667611035368
BRCA	ZNF10|7556	1	mod3	0.641475043980934	6.19568085601733e-14	6.70591339710111e-13	0.4558672640124
BRCA	ZNF514|84874	1	mod7	0.677451353144012	8.98752397187232e-12	4.65832228401269e-11	0.451342103722309
BRCA	ZNF345|25850	1	mod3	0.930740926479432	1.2170881922752e-13	1.2323722744282e-12	0.448007356139147
BRCA	ZNF846|162993	1	mod3	0.993400779631147	1.2390699498327e-13	1.2323722744282e-12	0.447797489315611
BRCA	ZNF484|83744	1	mod3	1.1598562824578	1.36270833200633e-13	1.31967543731139e-12	0.446681028930387
BRCA	ZNF430|80264	1	mod3	0.760524398419964	1.4951390463079e-13	1.38489556815747e-12	0.445590251053004
BRCA	ZNF91|7644	1	mod3	0.599110883743222	1.50532126973639e-13	1.38489556815747e-12	0.445510345293054
BRCA	ZNF721|170960	1	mod3	0.855524917110697	2.04705468816211e-13	1.79360982200871e-12	0.441879578517078
BRCA	ZNF320|162967	1	mod3	0.790519409808114	2.52403189001627e-13	2.16010171052555e-12	0.439392396578922
BRCA	ZNF525|170958	1	mod3	0.552728253834785	2.90761563643213e-13	2.43182398683414e-12	0.437706352787627
BRCA	ZNF136|7695	1	mod3	0.870156798313233	3.21605808357709e-13	2.63002083279193e-12	0.436501786289984
BRCA	ZNF549|256051	1	mod7	0.837422800027277	2.60344318934303e-11	1.1351164527305e-10	0.436404050693113
BRCA	ZNF418|147686	1	mod7	0.525554338546262	3.27180713447076e-11	1.40002909940144e-10	0.433143742150256
BRCA	ZNF713|349075	1	mod7	0.545284506916617	3.63131605049546e-11	1.51855034838901e-10	0.431650243325703
BRCA	ZNF234|10780	1	mod3	1.03831660810979	5.12790256239113e-13	4.02914674344172e-12	0.43089519038162
BRCA	ZNF562|54811	1	mod3	0.588317008446423	5.14592111254784e-13	4.02914674344172e-12	0.430852833138416
BRCA	ZNF660|285349	1	mod3	1.00547300391859	5.31577327428199e-13	4.06071447479582e-12	0.430460542914446
BRCA	ZNF765|91661	1	mod3	1.13284024894809	5.40692959959226e-13	4.06071447479582e-12	0.430255041740698
BRCA	ZNF134|7693	1	mod7	0.798142906511605	4.16927552508346e-11	1.70477043692302e-10	0.42966533186704
BRCA	ZNF699|374879	1	mod3	0.692348505626606	5.8826605281048e-13	4.06896810512167e-12	0.429234773276402
BRCA	ZNF791|163049	1	mod3	0.780157826864323	5.97076841512419e-13	4.06896810512167e-12	0.429054722179816
BRCA	ZNF43|7594	1	mod3	0.638311449953488	6.24260410919691e-13	4.17686965851721e-12	0.428515180719797
