rep(cancerdir, nrow(sigplus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BLCA	ZNF211|10520	1	mod3	0.630268041415933	1.43132742480477e-07	5.26728492328154e-05	0.83080084898048
HNSC	ZNF33B|7582	1	mod3	0.734310899487343	3.65114098452389e-10	1.34361988230479e-07	0.639169677897887
HNSC	ZNF204P|7754	1	mod3	0.8181784035412	8.95612684539264e-08	1.64792733955225e-05	0.523780425604951
HNSC	ZNF552|79818	1	mod3	0.717948483512642	1.85829647500445e-07	1.95369556764092e-05	0.506016845891235
HNSC	ZNF549|256051	1	mod3	0.973422200157969	2.7585391620183e-07	1.95369556764092e-05	0.496139813622823
HNSC	ZNF43|7594	1	mod3	0.659830644516087	2.93197724855483e-07	1.95369556764092e-05	0.494598547922054
HNSC	ZIK1|284307	1	mod3	0.754844883053164	3.18537320811019e-07	1.95369556764092e-05	0.492496081920668
HNSC	ZNF599|148103	1	mod3	1.46967343398664	4.6084020397293e-07	2.29075808625828e-05	0.483027166252762
HNSC	ZNF136|7695	1	mod3	0.968607694367713	4.97990888317018e-07	2.29075808625828e-05	0.481018080976488
HNSC	ZNF19|7567	1	mod3	0.872195986501899	1.17532362203887e-06	4.80576769900336e-05	0.45826436538799
HNSC	ZNF627|199692	1	mod3	0.770636602384302	1.54498444037046e-06	5.68554274056328e-05	0.450822210009176
HNSC	ZNF93|81931	1	mod3	1.04439592950664	1.81201659847394e-06	6.06201916580374e-05	0.446439276964176
HNSC	ZNF559|84527	1	mod3	0.809074074635386	1.99027275228598e-06	6.10350310701033e-05	0.443844320415856
HNSC	ZNF415|55786	1	mod3	0.563199991738134	2.15897377319367e-06	6.1115565271944e-05	0.441584982002174
HNSC	ZNF195|7748	1	mod3	1.34079931818587	2.60298165310928e-06	6.84212320245868e-05	0.436358766601116
LUADLUSC	ZNF83|55769	1	mod3	0.410583782486324	4.6695696718328e-12	1.62689722082883e-09	0.369944764040991
LUADLUSC	ZNF23|7571	1	mod3	0.565750306551375	8.8418327218958e-12	1.62689722082883e-09	0.362283801075028
LUADLUSC	ZNF84|7637	1	mod3	0.542898731671882	1.10778625951968e-10	1.35888447834414e-08	0.331065203018642
LUADLUSC	ZNF780B|163131	1	mod3	0.409309029031674	2.83785710838503e-09	2.61082853971423e-07	0.288895179813249
LUADLUSC	ZNF493|284443	1	mod3	0.328409896313754	3.62803235733137e-09	2.67023181499589e-07	0.28560215755858
LUADLUSC	ZNF177|7730	1	mod3	0.447650246166243	5.74234049621332e-09	3.5219688376775e-07	0.279408661883272
LUADLUSC	ZNF302|55900	1	mod3	0.454529606984469	1.25339624879343e-08	6.58928313651401e-07	0.268766471357492
LUADLUSC	ZNF708|7562	1	mod3	0.413215132034562	3.64311082760532e-08	1.67583098069845e-06	0.253987135868879
LUADLUSC	ZNF44|51710	1	mod3	0.536887079406551	4.27113221418197e-08	1.7464185053544e-06	0.251761128274156
LUADLUSC	ZNF432|9668	1	mod3	0.452539627696953	8.20256374023513e-08	3.00124620394903e-06	0.242564823321933
LUADLUSC	ZNF248|57209	1	mod3	0.403235504403738	8.97111637049981e-08	3.00124620394903e-06	0.241294784543269
LUADLUSC	ZNF540|163255	1	mod3	0.362895377627864	1.01819514818548e-07	3.12246512110213e-06	0.239496221170211
LUADLUSC	ZNF182|7569	1	mod3	0.400052131334954	1.8568143829413e-07	5.04087127583306e-06	0.230909151907596
LUADLUSC	ZNF789|285989	1	mod3	0.379795499507295	1.92357509535826e-07	5.04087127583306e-06	0.230401656357062
LUADLUSC	ZNF75A|7627	1	mod3	0.52026420475326	2.05470296569282e-07	5.04087127583306e-06	0.229453409433334
LUADLUSC	ZNF662|389114	1	mod3	0.275555837967031	2.67009415031556e-07	6.14121654572578e-06	0.225676170113774
LUADLUSC	ZNF10|7556	1	mod3	0.365189565678812	2.85648439577802e-07	6.18344857439007e-06	0.224700656014874
LUADLUSC	ZNF157|7712	1	mod3	0.46928454517722	3.42852021833759e-07	6.61867795496633e-06	0.222056373717876
LUADLUSC	ZNF577|84765	1	mod3	0.368983328199789	3.54759217051998e-07	6.61867795496633e-06	0.221560935350771
LUADLUSC	ZNF235|9310	1	mod3	0.581606350688032	3.76442581419403e-07	6.61867795496633e-06	0.220699351581012
LUADLUSC	ZNF107|51427	1	mod3	0.298075205356162	3.77696296343187e-07	6.61867795496633e-06	0.220651040234735
LUADLUSC	ZNF417|147687	1	mod3	0.40607889095758	6.02142402409534e-07	1.00722001857595e-05	0.213848349168058
LUADLUSC	ZNF606|80095	1	mod3	0.346130790103292	9.29693693605736e-07	1.48750990976918e-05	0.207467134551914
LUADLUSC	ZNF841|284371	1	mod3	0.279980841984605	1.12899996018254e-06	1.73113327227989e-05	0.204599402952428
LUADLUSC	ZNF808|388558	1	mod3	0.457676420016314	1.20266704363347e-06	1.77032588822846e-05	0.203664257456809
LUADLUSC	ZNF404|342908	1	mod3	0.32378060912971	1.38842476198934e-06	1.95239169614299e-05	0.201535910653916
LUADLUSC	ZNF91|7644	1	mod3	0.33639670258462	1.43246129880056e-06	1.95239169614299e-05	0.20107258125455
LUADLUSC	ZNF254|9534	1	mod3	0.44702847482736	1.61325801056677e-06	2.1202819567449e-05	0.199306758145163
LUADLUSC	ZNF345|25850	1	mod3	0.414820456695559	1.73377778418135e-06	2.19018897506059e-05	0.198234827245315
LUADLUSC	ZNF33A|7581	1	mod3	0.382979548115282	1.83536491944475e-06	2.19018897506059e-05	0.197386803456197
LUADLUSC	ZNF334|55713	1	mod3	0.276559074565042	1.87187149602948e-06	2.19018897506059e-05	0.19709330304096
LUADLUSC	ZNF793|390927	1	mod3	0.282378838330039	1.90840326870982e-06	2.19018897506059e-05	0.196805187979485
LUADLUSC	ZNF354B|117608	1	mod3	0.346497990040359	1.96402815698368e-06	2.19018897506059e-05	0.196376756065329
LUADLUSC	ZNF431|170959	1	mod3	0.317515558799315	2.19711216397622e-06	2.37805081277426e-05	0.194702607678059
LUADLUSC	ZNF514|84874	1	mod3	0.208174615953253	3.69997296269322e-06	3.89025728648887e-05	0.186884419119284
LUADLUSC	ZNF273|10793	1	mod3	0.219238419587157	4.12261339536187e-06	4.21422702636991e-05	0.185254133472985
LUADLUSC	ZNF211|10520	1	mod3	0.393506447961027	4.31374503619704e-06	4.29042749546084e-05	0.184570264339897
LUADLUSC	ZNF529|57711	1	mod3	0.459571034054107	4.81103336565004e-06	4.65910599620846e-05	0.182921949880326
LUADLUSC	ZNF846|162993	1	mod3	0.385358520636749	5.0151526328595e-06	4.73224658690332e-05	0.182293495331082
LUADLUSC	ZNF75D|7626	1	mod3	0.407144237843806	8.07184790900033e-06	7.2093687670384e-05	0.175067810149182
LUADLUSC	ZNF720|124411	1	mod3	0.551711971164412	8.22808391890252e-06	7.2093687670384e-05	0.174775689790313
LUADLUSC	ZNF439|90594	1	mod3	0.321952489384801	9.0327752127912e-06	7.60816758265517e-05	0.173352738724799
LUADLUSC	ZNF727|442319	1	mod3	0.386201034572849	9.0967221096964e-06	7.60816758265517e-05	0.17324507741062
LUADLUSC	ZNF354A|6940	1	mod3	0.64515708103885	1.00044005755536e-05	8.18137647067498e-05	0.171792480293811
LUADLUSC	ZNF204P|7754	1	mod3	0.281379087372655	1.03330832594205e-05	8.26646660753643e-05	0.171298327580498
LUADLUSC	ZNF337|26152	1	mod3	0.266181477525831	1.17375579174975e-05	9.19025811412571e-05	0.169347908669449
LUADLUSC	ZNF621|285268	1	mod3	0.340340941278886	1.26965912796828e-05	9.73405331442349e-05	0.168144147504587
PRAD	ZNF610|162963	1	mod3	0.698109413316936	2.88391757594611e-10	1.06128166794817e-07	0.566655445617485
PRAD	ZNF350|59348	1	mod3	0.416025559949918	1.58141918557668e-09	2.9098113014611e-07	0.535326563865219
PRAD	ZKSCAN1|7586	1	mod6	0.536221280197132	8.21638507698181e-09	1.0078765694431e-06	0.533803066884187
PRAD	ZNF761|388561	1	mod3	0.23173259300769	1.3328544689715e-08	1.12993726147975e-06	0.492976715528057
PRAD	ZNF615|284370	1	mod3	0.46963562719251	1.73893564302981e-08	1.12993726147975e-06	0.487438675989658
PRAD	ZNF614|80110	1	mod3	0.581125284070593	1.8422890132822e-08	1.12993726147975e-06	0.486228757737969
PRAD	ZNF485|220992	1	mod3	1.10954481306927	8.84715022157285e-08	4.06968910192351e-06	0.45227936655257
PRAD	ZNF649|65251	1	mod3	0.485419370776291	2.41531815136855e-07	9.87596755226253e-06	0.42943888549945
PRAD	ZNF720|124411	1	mod7	1.47552783488536	1.35649872307047e-06	3.11994706306209e-05	0.422401737572474
PRAD	ZNF613|79898	1	mod3	0.352685341014515	4.82113723310358e-07	1.2672703584158e-05	0.413199958884937
PRAD	ZNF813|126017	1	mod7	0.274709709743209	3.70597856323356e-06	6.89373915182134e-05	0.395594874649804
PRAD	ZNF765|91661	1	mod3	0.659547042205555	1.22884166614927e-06	3.01475822095287e-05	0.390525694709618
PRAD	ZNF860|344787	1	mod3	0.398163231277081	3.74659736512029e-06	6.89373915182134e-05	0.362448430695538
PRAD	ZNF677|342926	1	mod3	0.718257603623286	4.98844173967022e-06	8.74165028666019e-05	0.355048666052931
THCA	ZNF257|113835	1	mod3	0.599787531541387	3.55169716273304e-12	7.42507887679598e-10	0.601635580500602
THCA	ZNF780B|163131	1	mod3	0.507680940155884	4.03536895478042e-12	7.42507887679598e-10	0.599734238424807
THCA	ZNF519|162655	1	mod3	0.590298462795197	1.62492368463726e-10	1.99323971982171e-08	0.540681243451955
