rep(cancerdir, nrow(sigminus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF511|118472	1	mod3	-0.884665572932737	3.70761633059151e-17	9.74573435469769e-16	0.53536347095582
BRCA	ZNF32|7580	1	mod3	-1.11260465629606	3.89819074970122e-14	4.62752966416145e-13	0.461197813047204
BRCA	ZNF18|7566	1	mod7	-0.939689508724085	5.39851124783778e-07	1.1287796245479e-06	0.276759424921509
BRCA	ZNF747|65988	1	mod3	-0.992917830510689	2.40394402483881e-07	5.42875079859701e-07	0.250511770375589
BRCA	ZNF768|79724	1	mod3	-0.5316893730372	9.33888267687131e-07	1.88830155224651e-06	0.229003856666467
BRCA	ZNF746|155061	1	mod7	-1.15472351504503	2.0727103744352e-05	3.49888723757868e-05	0.208471076040981
BRCA	ZNF71|58491	1	mod3	-0.752266417152984	7.29078887306172e-06	1.32167995334321e-05	0.195423434259449
BRCA	ZNF205|7755	1	mod3	-0.386689219617656	7.38772765505328e-06	1.33268812600961e-05	0.195203717601485
BRCA	ZNF584|201514	1	mod3	-1.12017165810121	1.12994660187218e-05	2.01216935953102e-05	0.188109142848109
LUADLUSC	ZNF511|118472	1	mod7	-0.802634642988398	9.64358171015591e-12	9.59145424145237e-11	0.418725938178989
LUADLUSC	ZNF32|7580	1	mod7	-0.654792552019579	3.74811600939728e-11	3.28406355109095e-10	0.400378259865043
LUADLUSC	ZNF468|90333	1	mod7	-0.841557720799439	1.62263681414462e-07	8.17986777541398e-07	0.27446757781766
LUADLUSC	ZNF627|199692	1	mod7	-0.52012050691208	3.67827094568868e-07	1.78105751054399e-06	0.260929279932292
THCA	ZNF511|118472	1	mod7	-0.561986805216641	9.57056303345491e-07	8.80491799077852e-06	0.43911608205719
