rep(cancerdir, nrow(sigplus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF841|284371	1	mod3	0.952951124531687	1.02468751144758e-26	1.9983464951581e-24	0.709713436936721
BRCA	ZNF655|79027	1	mod3	1.41466950353468	1.08605787780332e-26	1.9983464951581e-24	0.709351637771538
BRCA	ZNF141|7700	1	mod3	0.906982991323828	1.31570640725877e-25	1.61393319290409e-23	0.693407349237706
BRCA	ZNF662|389114	1	mod7	0.784988714425021	3.51988255555092e-21	2.59063356088548e-19	0.683550140730192
BRCA	ZNF780B|163131	1	mod7	0.795834608925147	1.20288330337336e-20	6.32372936630566e-19	0.67348004598255
BRCA	ZNF431|170959	1	mod7	0.892537505450479	5.27955616497953e-19	2.15875185412496e-17	0.640455815059408
BRCA	ZNF417|147687	1	mod3	0.796532848835075	8.47752841883195e-22	7.7993261453254e-20	0.630133390242541
BRCA	ZNF432|9668	1	mod7	0.8979291714036	2.57087446193099e-18	8.60074365446003e-17	0.625669717075773
BRCA	ZNF83|55769	1	mod3	0.828722500355951	4.75642505189161e-21	2.91727403182685e-19	0.616246591582744
BRCA	ZNF611|81856	1	mod3	1.10885271327951	4.21784579116916e-20	1.94020906393782e-18	0.597932377258855
BRCA	ZNF33A|7581	1	mod7	0.816595258397804	1.27712993989322e-16	3.13322545253803e-15	0.586570863339349
BRCA	ZNF587|84914	1	mod7	0.498546812299313	1.74271621522996e-16	3.77246804238016e-15	0.583291397134989
BRCA	ZNF493|284443	1	mod3	0.738995356022239	8.41290641457165e-19	3.09594956056237e-17	0.571403693066782
BRCA	ZNF37A|7587	1	mod3	1.00320687086535	3.45575022464439e-18	1.05976340222428e-16	0.558287699131984
BRCA	ZNF483|158399	1	mod3	0.588684184471352	8.64586430740677e-18	2.4474446654813e-16	0.549563586113895
BRCA	ZNF169|169841	1	mod7	0.879380158384915	1.44689386703889e-14	2.0479113195012e-13	0.533801955267085
BRCA	ZNF10|7556	1	mod7	0.642738448751637	1.96547212995887e-14	2.67886571786987e-13	0.530165270335525
BRCA	ZNF224|7767	1	mod3	0.926624668506132	1.7349631076807e-16	3.77246804238016e-15	0.519831221209775
BRCA	ZNF514|84874	1	mod7	0.752211398056014	5.43180802593972e-14	6.05728895013884e-13	0.517896162755924
BRCA	ZNF121|7675	1	mod3	0.65268539127974	2.60899154234447e-16	5.3339382643487e-15	0.515640345688625
BRCA	ZNF708|7562	1	mod3	0.752565852276032	3.20085121229682e-16	6.1995434006591e-15	0.513526653084735
