rep(cancerdir, nrow(sigminus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF511|118472	1	mod3	-0.900927401627867	2.68705569753947e-15	3.29612165564841e-14	0.490986821089223
BRCA	ZNF32|7580	1	mod3	-1.14270225146949	5.43115233694573e-13	4.5424183181728e-12	0.430201005050149
BRCA	ZNF768|79724	1	mod3	-0.627459130040999	3.08550477783141e-08	9.70483554052956e-08	0.282031413363356
BRCA	ZNF747|65988	1	mod3	-1.09088327604616	8.0831195468131e-08	2.41836422213595e-07	0.26739780991263
BRCA	ZNF205|7755	1	mod3	-0.478961988256006	9.55457670651955e-08	2.83555179677354e-07	0.264829165830969
BRCA	ZNF394|84124	1	mod3	-0.966530940236682	3.24355548132067e-07	8.77667953769122e-07	0.245810171905663
BRCA	ZNF777|27153	1	mod3	-0.611201486439019	1.76207073314512e-06	4.21066253115198e-06	0.218758441032873
BRCA	ZNF746|155061	1	mod3	-0.976413195025534	7.28913353507584e-06	1.49854812341224e-05	0.195427211056307
BRCA	ZNF71|58491	1	mod3	-0.771186848590154	1.66284876324911e-05	3.25493800465782e-05	0.181615237647997
BRCA	ZNF584|201514	1	mod3	-1.11988982401195	4.10680239325195e-05	7.51892179461054e-05	0.166261273393359
BRCA	ZNF282|8427	1	mod3	-0.570933967027674	4.70538979786905e-05	8.57219527532579e-05	0.16393187800924
CHOLLIHC	ZNF282|8427	1	mod3	-0.813038994106067	1.1321450274296e-05	9.05716021943681e-05	0.293323263700276
KICHKIRCKIRP	ZNF71|58491	1	mod3	-0.464882228639114	9.99899759839548e-08	8.76102646716557e-07	0.208251661333884
KICHKIRCKIRP	ZNF267|10308	1	mod3	-0.42632531989112	1.14585528707678e-07	9.58351694646033e-07	0.20653148566815
LUADLUSC	ZNF511|118472	1	mod7	-0.445698145051756	2.2032726857183e-05	7.17525971986136e-05	0.189869087774879
THCA	ZNF511|118472	1	mod11	-0.564843834417236	1.17893564854555e-06	5.70853050874689e-06	0.373337843207917
