rep(cancerdir, nrow(sigplus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF417|147687	1	mod3	0.893061675920191	4.43169720949733e-26	1.63086457309502e-23	0.700467159762308
BRCA	ZNF841|284371	1	mod3	0.995487076229578	4.74186869614207e-25	8.72503840090141e-23	0.684877325413307
BRCA	ZNF655|79027	1	mod3	1.45662741326117	8.22157980712056e-24	8.78004537732934e-22	0.665040834556892
BRCA	ZNF347|84671	1	mod3	1.09930733693181	9.54352758405363e-24	8.78004537732934e-22	0.663970713676582
BRCA	ZNF81|347344	1	mod3	0.682133759385303	3.69662891776244e-20	2.40183882041402e-18	0.599063407740567
BRCA	ZNF573|126231	1	mod3	0.768028534959774	4.48998391830068e-20	2.40183882041402e-18	0.597395146272221
BRCA	ZNF354C|30832	1	mod3	0.646334258840212	4.56871514752667e-20	2.40183882041402e-18	0.597245660948922
BRCA	ZNF445|353274	1	mod7	1.09172593376391	7.73296421700685e-17	1.42286541592926e-15	0.591810639957067
BRCA	ZNF699|374879	1	mod3	0.898303367335633	9.91962327550362e-20	4.56302670673167e-18	0.59052248692488
BRCA	ZNF621|285268	1	mod3	1.14114818281481	1.20079689007561e-19	4.9099250616425e-18	0.588848712715917
BRCA	ZNF224|7767	1	mod3	1.04120913126117	3.11229732311781e-19	1.14532541490736e-17	0.580403926934593
BRCA	ZNF585B|92285	1	mod3	1.05466785258783	7.98542819643308e-19	2.6714887057158e-17	0.571880381259378
BRCA	ZNF780B|163131	1	mod3	0.833552347286414	1.25737853939784e-18	3.78020803674814e-17	0.567712817964154
BRCA	ZNF611|81856	1	mod3	1.14841714417702	1.33539957819907e-18	3.78020803674814e-17	0.567157186721166
BRCA	ZNF75D|7626	1	mod3	1.59803796198355	3.02208526550003e-18	7.94376698360009e-17	0.559549331174124
BRCA	ZNF829|374899	1	mod3	0.916577963508539	3.51323579437582e-18	8.51472357154877e-17	0.558132229804449
BRCA	ZNF221|7638	1	mod3	0.939114677973064	3.70205372676033e-18	8.51472357154877e-17	0.557638546322589
BRCA	ZNF141|7700	1	mod3	0.862826475464215	4.92963490265831e-18	1.06712096716368e-16	0.55492825973925
BRCA	ZNF471|57573	1	mod3	0.927654526659752	7.66109658879723e-18	1.56626863593188e-16	0.550723638275326
BRCA	ZNF791|163049	1	mod3	0.960169110241921	5.68319203139135e-17	1.10074456186948e-15	0.531114565443237
BRCA	ZNF234|10780	1	mod3	1.27027204219755	8.52253982337076e-17	1.4934736452383e-15	0.52704843690169
