rep(cancerdir, nrow(sigplus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
ESCASTAD	ZNF674|641339	1	mod2	1.7169513005521	3.20673239979465e-10	1.18007752312443e-07	0.622944488029929
ESCASTAD	ZNF805|390980	1	mod2	0.963954029669594	6.83003291774702e-08	1.14400377788237e-05	0.512390728468498
ESCASTAD	ZNF548|147694	1	mod2	0.956669652129111	9.32611775447583e-08	1.14400377788237e-05	0.505084140669497
ESCASTAD	ZNF780B|163131	1	mod3	0.699675485416188	2.46184261917535e-07	1.50993013976088e-05	0.490174818621676
ESCASTAD	ZNF667|63934	1	mod2	0.600313895811414	1.9446642752205e-07	1.4518772732422e-05	0.487428600686712
ESCASTAD	ZNF160|90338	1	mod2	0.854259545303936	1.97265933864429e-07	1.4518772732422e-05	0.487079294350998
ESCASTAD	ZNF846|162993	1	mod2	0.79357298938147	5.15192091516735e-07	2.36988362097698e-05	0.463092284212416
KICHKIRCKIRP	ZNF84|7637	1	mod3	0.655770380351355	1.05252115673051e-08	3.87327785676828e-06	0.236202254657087
KICHKIRCKIRP	ZNF234|10780	1	mod3	0.701853548684479	9.11502857577281e-08	9.69532087916551e-06	0.209418381546228
KICHKIRCKIRP	ZSCAN29|146050	1	mod3	0.805733614603749	1.01977530523965e-07	9.69532087916551e-06	0.208003369816283
KICHKIRCKIRP	ZNF337|26152	1	mod3	0.479012625433107	1.05383922599625e-07	9.69532087916551e-06	0.207588726917711
KICHKIRCKIRP	ZNF263|10127	1	mod7	1.14618417603371	5.77486323802346e-07	3.52058935610793e-05	0.204003360722965
KICHKIRCKIRP	ZNF550|162972	1	mod3	0.515830836396398	6.39138644978412e-07	3.52058935610793e-05	0.184554346602724
KICHKIRCKIRP	ZNF248|57209	1	mod3	0.666119783264854	6.69677323172704e-07	3.52058935610793e-05	0.183950439187457
KICHKIRCKIRP	ZNF235|9310	1	mod3	0.685403351317769	1.42291954499025e-06	6.54542990695514e-05	0.174147618925428
KICHKIRCKIRP	ZNF224|7767	1	mod3	0.558693518161697	1.76653529474154e-06	7.22316653849875e-05	0.171316410384406
KICHKIRCKIRP	ZNF805|390980	1	mod3	0.493335977401661	2.43428033714781e-06	8.95815164070393e-05	0.167105385777858
