rep(cancerdir, nrow(sigplus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF814|730051	1	mod3	0.495283680587562	7.69464909992268e-11	2.83163086877155e-08	0.367176149675841
BRCA	ZNF587|84914	1	mod3	0.370273404588903	2.20920419696149e-10	4.06493572240914e-08	0.352919488046198
BRCA	ZNF606|80095	1	mod3	0.554885568078379	1.43155552868132e-09	1.08023494897747e-07	0.3269083708454
BRCA	ZNF682|91120	1	mod3	0.532845578442112	1.46129715469647e-09	1.08023494897747e-07	0.326616739917056
BRCA	ZNF700|90592	1	mod3	0.651911443391983	1.59287576148218e-09	1.08023494897747e-07	0.325392689215437
BRCA	ZNF83|55769	1	mod3	0.515406785877598	1.88198334815325e-09	1.08023494897747e-07	0.323018841134538
BRCA	ZNF662|389114	1	mod3	0.506694607914455	2.05479473990279e-09	1.08023494897747e-07	0.321765328975981
BRCA	ZNF311|282890	1	mod3	0.513509698877241	5.20701495921704e-09	2.39522688123984e-07	0.308363937870449
BRCA	ZNF625|90589	1	mod3	0.614604664734161	8.27805955947077e-09	3.38480657542805e-07	0.301590345284206
BRCA	ZNF439|90594	1	mod3	0.357668559713813	1.51210792210257e-08	5.56455715333747e-07	0.292695716553862
BRCA	ZNF260|339324	1	mod3	0.571306615739233	2.05217768172755e-08	6.86546715341579e-07	0.288147212853707
BRCA	ZNF525|170958	1	mod3	0.398810384711407	2.46842863166008e-08	7.56984780375758e-07	0.285383592915577
BRCA	ZNF141|7700	1	mod3	0.498326498350845	2.76747975039477e-08	7.83409652419443e-07	0.283667406511167
BRCA	ZNF737|100129842	1	mod3	0.332349353568945	3.41511231671327e-08	8.97686666107488e-07	0.280501871640929
BRCA	ZNF43|7594	1	mod3	0.460019803079701	3.8391409401237e-08	9.41869243977015e-07	0.278734394731498
BRCA	ZNF793|390927	1	mod3	0.347906916272486	5.08924877764346e-08	1.0508307059729e-06	0.274461225578677
BRCA	ZNF107|51427	1	mod3	0.276633463130042	5.31519991579477e-08	1.0508307059729e-06	0.27380064600766
BRCA	ZNF675|171392	1	mod3	0.430470141237919	5.3512720077766e-08	1.0508307059729e-06	0.273697744589739
BRCA	ZNF12|7559	1	mod3	0.636181617506771	5.42548462322963e-08	1.0508307059729e-06	0.273488164187291
BRCA	ZNF551|90233	1	mod3	0.41117549156355	5.96019411326106e-08	1.07034614225045e-06	0.272056377151782
BRCA	ZNF273|10793	1	mod3	0.441636068370298	6.10795352914658e-08	1.07034614225045e-06	0.27168293293526
BRCA	ZNF562|54811	1	mod3	0.416427685171403	6.66645858128063e-08	1.11511670814149e-06	0.270347214216431
BRCA	ZNF841|284371	1	mod3	0.500709602453208	9.13201574427961e-08	1.46112251908474e-06	0.26552470519891
BRCA	ZNF44|51710	1	mod3	0.657763863391188	1.18510668790659e-07	1.81716358812344e-06	0.261508939081504
BRCA	ZNF782|158431	1	mod3	0.496912173956248	1.50707166722589e-07	2.21840949415651e-06	0.257788383559918
BRCA	ZNF440|126070	1	mod3	0.551338881157468	1.58829584071688e-07	2.24804949763004e-06	0.256973519018412
BRCA	ZNF136|7695	1	mod3	0.59193601001784	2.05344624336352e-07	2.79877117613991e-06	0.252974692202576
BRCA	ZNF268|10795	1	mod3	0.570897479376804	2.59426200324442e-07	3.40960148997838e-06	0.249318419146016
BRCA	ZNF544|27300	1	mod3	0.481432259592579	2.70140416862192e-07	3.42798873811333e-06	0.248683874745552
BRCA	ZNF135|7694	1	mod3	0.526787391292742	2.92131704477257e-07	3.48340282340393e-06	0.247455398501536
BRCA	ZNF418|147686	1	mod3	0.394070694100411	2.93438824797614e-07	3.48340282340393e-06	0.247385267353183
BRCA	ZNF761|388561	1	mod3	0.655381810351079	3.0338880664923e-07	3.48897127646615e-06	0.246861257441974
BRCA	ZNF10|7556	1	mod3	0.41992754704617	3.48914786079919e-07	3.8196260102099e-06	0.24466067562773
BRCA	ZNF720|124411	1	mod3	0.882307649939394	3.62753303457156e-07	3.8196260102099e-06	0.244047472092587
BRCA	ZNF529|57711	1	mod3	0.587437595459592	3.69431974723582e-07	3.8196260102099e-06	0.243759700608512
BRCA	ZNF350|59348	1	mod3	0.525426481700188	3.73659066216186e-07	3.8196260102099e-06	0.243580190255304
BRCA	ZNF91|7644	1	mod3	0.394993586463924	3.99433880040031e-07	3.97274777985761e-06	0.242526962356868
BRCA	ZNF626|199777	1	mod3	0.399496161215589	4.40247965291775e-07	4.17126148527513e-06	0.240988487539646
BRCA	ZNF493|284443	1	mod3	0.412205694995164	4.42063037841658e-07	4.17126148527513e-06	0.240923365171773
BRCA	ZNF732|654254	1	mod3	0.566439033468103	4.75610393429739e-07	4.3756156195536e-06	0.239764777463557
BRCA	ZNF28|7576	1	mod3	0.535594100325443	5.15295311770872e-07	4.62508962760198e-06	0.238493615472244
BRCA	ZNF320|162967	1	mod3	0.518459181988774	5.76972510535615e-07	5.05537818755015e-06	0.236697225362198
BRCA	ZNF528|84436	1	mod3	0.488422843668394	5.99328631034771e-07	5.12913805164641e-06	0.236092341233716
BRCA	ZNF681|148213	1	mod3	0.328683748067616	6.32680511440992e-07	5.29150973205193e-06	0.235229919984142
BRCA	ZNF667|63934	1	mod3	0.332233082606267	7.58393869518109e-07	6.20197653294809e-06	0.232337544085749
BRCA	ZNF3|7551	1	mod3	0.676210928251933	8.25882411742803e-07	6.60705929394242e-06	0.230973748591511
BRCA	ZNF140|7699	1	mod3	0.550910731500043	8.85379344614015e-07	6.91963047507352e-06	0.229859328699419
BRCA	ZNF785|146540	1	mod3	0.418114280303804	9.02560496748721e-07	6.91963047507352e-06	0.229551182521956
BRCA	ZNF486|90649	1	mod3	0.325122661311027	9.2391151824866e-07	6.93876405541851e-06	0.229176178023467
BRCA	ZNF780B|163131	1	mod3	0.427474489813105	9.45241229050399e-07	6.95697544581094e-06	0.228809950366864
BRCA	ZNF84|7637	1	mod3	0.577539035082978	1.09209662978343e-06	7.88022666196674e-06	0.226489206442768
BRCA	ZNF33A|7581	1	mod3	0.47723393755284	1.2085051663383e-06	8.55249810024031e-06	0.224857959202784
