rep(cancerdir, nrow(sigminus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF511|118472	1	mod3	-1.02908408655694	1.41534056302198e-19	1.30211331798022e-17	0.58740318393559
BRCA	ZNF32|7580	1	mod3	-1.19936430652121	3.78131798146651e-13	4.9439138324333e-12	0.434562075946585
BRCA	ZNF768|79724	1	mod3	-0.691689222223608	3.4653696334989e-09	1.28813739911878e-08	0.314262776793923
BRCA	ZNF747|65988	1	mod3	-1.07496136267714	5.2874242209219e-07	1.23150133753118e-06	0.238084606222345
BRCA	ZNF205|7755	1	mod7	-0.498341517348619	2.70446301095906e-05	4.9026718622312e-05	0.203284707485511
BRCA	ZNF584|201514	1	mod3	-1.23666569076603	1.28868615230436e-05	2.49598160025265e-05	0.185904309976725
BRCA	ZNF777|27153	1	mod3	-0.566489797565482	2.87965389438118e-05	5.16932991771841e-05	0.172315573601141
CHOLLIHC	ZNF768|79724	1	mod2	-0.813936184515317	1.79566697714593e-07	3.51336372919389e-05	0.382428214688883
ESCASTAD	ZNF394|84124	1	mod3	-1.82976508057122	1.51788366870635e-07	2.46244226737487e-05	0.502081533744022
LUADLUSC	ZNF511|118472	1	mod7	-0.713727479923717	1.01091964838368e-09	5.90505445405073e-09	0.353512057049719
LUADLUSC	ZNF32|7580	1	mod7	-0.488438949201337	1.43896819243056e-06	5.63340739164302e-06	0.237864118144373
