rep(cancerdir, nrow(sigminus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF511|118472	1	mod3	-1.05124944012161	8.47021451820744e-18	1.55851947135017e-15	0.549760694172109
BRCA	ZNF32|7580	1	mod3	-1.25327772280795	7.95379365335996e-13	1.95133070962431e-11	0.425570762118215
BRCA	ZNF768|79724	1	mod2	-0.642458132731003	2.99262718000752e-07	1.12376204310486e-06	0.244788370971291
BRCA	ZNF205|7755	1	mod2	-0.470348077192489	1.95241959979847e-06	6.14094369851143e-06	0.215040697284494
BRCA	ZNF747|65988	1	mod2	-1.01436262836969	8.7797849369911e-06	2.30782918343766e-05	0.190480763942408
BRCA	ZNF71|58491	1	mod2	-0.843903768099233	1.52050235890453e-05	3.8324990964169e-05	0.181354359073013
BRCA	ZNF174|7727	1	mod2	-1.02464235704334	2.38586718702887e-05	5.73855637141585e-05	0.173807092511819
BRCA	ZSCAN21|7589	1	mod2	-1.02584160912217	4.17977893185277e-05	9.322173617708e-05	0.164339950541607
LUADLUSC	ZNF511|118472	1	mod7	-0.732618006346628	1.19754017489329e-09	9.79321743023842e-09	0.351010476940958
LUADLUSC	ZNF32|7580	1	mod7	-0.583768301386326	9.19005932233883e-09	6.39277827686649e-08	0.320195248862065
THCA	ZNF511|118472	1	mod7	-0.793544989014844	5.00647345309921e-08	4.8483742914224e-07	0.511024879035458
