rep(cancerdir, nrow(sigplus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF841|284371	1	mod3	1.06176207260523	2.17942894057408e-22	8.02029850131261e-20	0.640719349153348
BRCA	ZNF611|81856	1	mod3	1.21147890730508	1.87287610252244e-16	2.29739468576086e-14	0.519048222148496
BRCA	ZNF655|79027	1	mod3	1.40577720120729	4.7606426826155e-16	3.71792071838402e-14	0.509396825634706
BRCA	ZNF417|147687	1	mod3	0.839296289068702	5.05152271519568e-16	3.71792071838402e-14	0.508776879649662
BRCA	ZNF41|7592	1	mod7	1.41123616769356	3.66750637871769e-12	8.43526467105068e-11	0.463632662426392
BRCA	ZNF121|7675	1	mod3	0.71647228718019	8.74745774720424e-14	5.36510741828526e-12	0.451865880553865
BRCA	ZNF662|389114	1	mod3	0.812869216224363	1.65485467550185e-13	7.16338593102804e-12	0.444394180954596
BRCA	ZNF431|170959	1	mod3	0.901469844779533	1.74111772535147e-13	7.16338593102804e-12	0.443794413295237
BRCA	ZNF587|84914	1	mod3	0.566270526981891	1.86940668673365e-13	7.16338593102804e-12	0.442954223960198
BRCA	ZNF354B|117608	1	mod3	0.943659650904491	2.00629145598288e-13	7.16338593102804e-12	0.442117858026549
BRCA	ZNF141|7700	1	mod3	0.847780457909658	2.28331994856554e-13	7.16338593102804e-12	0.440583884462153
BRCA	ZNF81|347344	1	mod3	0.644878968364662	2.33588671663958e-13	7.16338593102804e-12	0.440313519601733
BRCA	ZNF83|55769	1	mod3	0.816162297562426	3.74704911167751e-13	1.06070313315179e-11	0.434671310947344
BRCA	ZNF562|54811	1	mod3	0.719718909234841	4.17929023461637e-13	1.09855629024202e-11	0.433360041787808
BRCA	ZNF432|9668	1	mod3	0.891275457113857	3.94901410761247e-12	8.54845406824346e-11	0.405721595899074
BRCA	ZNF776|284309	1	mod7	0.773762170062734	2.63177536229456e-10	2.93482828280121e-09	0.402545867781165
BRCA	ZNF701|55762	1	mod3	1.18310541963802	5.27072097442356e-12	9.91645176851953e-11	0.402075685502268
BRCA	ZNF483|158399	1	mod3	0.590328916981543	5.34629202222741e-12	9.91645176851953e-11	0.401895346105609
BRCA	ZNF224|7767	1	mod3	0.955296937814589	5.38937596115192e-12	9.91645176851953e-11	0.401793646907001
BRCA	ZNF737|100129842	1	mod3	0.537936180064564	9.6593955735938e-12	1.69269408146787e-10	0.394355520776354
BRCA	ZNF829|374899	1	mod3	0.844948242458061	1.3488568480949e-11	2.2562696368133e-10	0.390059069905231
BRCA	ZNF678|339500	1	mod3	0.75353813297829	1.82069660183307e-11	2.91311456293292e-10	0.386174492586408
BRCA	ZNF791|163049	1	mod3	0.899400958838176	2.28091575709741e-11	3.49740416088269e-10	0.383240442060613
