rep(cancerdir, nrow(sigplus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF141|7700	1	mod3	0.52251569002365	2.95962892005867e-10	1.08914344258159e-07	0.348912818986556
BRCA	ZNF417|147687	1	mod3	0.461814985295416	2.14729809912286e-09	3.72940387606179e-07	0.321136191819674
BRCA	ZNF780B|163131	1	mod3	0.475061737494143	3.04027489896342e-09	3.72940387606179e-07	0.316148689163963
BRCA	ZNF776|284309	1	mod7	0.440545251587278	5.85377989528752e-08	1.65004464222845e-06	0.31573801904138
BRCA	ZNF655|79027	1	mod3	0.743503088274202	1.12605432891594e-08	8.28775986082133e-07	0.297060731143004
BRCA	ZNF431|170959	1	mod3	0.504342807475635	1.86273675210265e-08	1.02584583052541e-06	0.2895926506158
BRCA	ZNF12|7559	1	mod3	0.617442674169714	2.04381283482695e-08	1.02584583052541e-06	0.28820822228445
BRCA	ZNF529|57711	1	mod3	0.602533037830899	2.23009963157698e-08	1.02584583052541e-06	0.286904223102848
BRCA	ZNF562|54811	1	mod3	0.402071747797289	3.10029470466303e-08	1.0507833661422e-06	0.281959416404441
BRCA	ZNF254|9534	1	mod3	0.471725553731469	3.11524621330008e-08	1.0507833661422e-06	0.281886974468395
BRCA	ZNF84|7637	1	mod3	0.609019833849804	3.14092854009897e-08	1.0507833661422e-06	0.281763332663848
BRCA	ZNF829|374899	1	mod3	0.489853072526892	5.4887380362138e-08	1.65004464222845e-06	0.273311741232772
BRCA	ZNF483|158399	1	mod3	0.335897431415183	6.27734374760825e-08	1.65004464222845e-06	0.271265571259072
BRCA	ZNF841|284371	1	mod3	0.476338498767933	7.35476195775785e-08	1.73238411573536e-06	0.268844552103335
BRCA	ZNF264|9422	1	mod3	0.72575471606854	7.53210485102331e-08	1.73238411573536e-06	0.268479754467913
BRCA	ZNF121|7675	1	mod3	0.379808704427371	9.6186992404247e-08	2.08216548263311e-06	0.264726265350099
BRCA	ZNF587|84914	1	mod3	0.298424456603278	1.64063981329166e-07	3.3541969516185e-06	0.256469782549667
BRCA	ZNF430|80264	1	mod3	0.485496025273236	1.87145905386976e-07	3.6247206938109e-06	0.254421657792285
BRCA	ZNF493|284443	1	mod3	0.397319231716166	2.41826814071908e-07	4.44961337892311e-06	0.250418781303391
BRCA	ZNF91|7644	1	mod3	0.377609560412158	2.82677315865329e-07	4.95358343992576e-06	0.247972020194634
BRCA	ZNF83|55769	1	mod3	0.42471880668065	3.33003857754627e-07	5.57024634789558e-06	0.24539592848169
BRCA	ZNF611|81856	1	mod3	0.575060090229702	3.68159211560918e-07	5.89054738497468e-06	0.243814145628039
BRCA	ZNF81|347344	1	mod3	0.331800503564435	3.87513333112583e-07	5.94187110772627e-06	0.243005511881843
BRCA	ZNF134|7693	1	mod7	0.506541612537375	3.55859802636527e-06	2.50350486375422e-05	0.242120342917152
BRCA	ZNF876P|642280	1	mod3	0.625161707543311	5.75044488975304e-07	7.9771846248258e-06	0.236750464555393
BRCA	ZNF678|339500	1	mod3	0.407951732981339	6.04151831831206e-07	7.9771846248258e-06	0.235964749391271
BRCA	ZNF708|7562	1	mod3	0.414156423175745	6.10705187281728e-07	7.9771846248258e-06	0.235792981689276
BRCA	ZNF551|90233	1	mod3	0.361867439297075	6.12594765175348e-07	7.9771846248258e-06	0.235743790665873
BRCA	ZNF154|7710	1	mod3	0.276140628040388	6.4747495576268e-07	7.9771846248258e-06	0.234861563877839
BRCA	ZNF43|7594	1	mod3	0.399166735098194	6.50313963980364e-07	7.9771846248258e-06	0.234791823458822
BRCA	ZNF300|91975	1	mod3	0.38998116602927	7.10687596980027e-07	8.43654953834354e-06	0.233375498026343
BRCA	ZNF136|7695	1	mod3	0.535172518087686	8.07167389704124e-07	9.28242498159742e-06	0.231340643977123
BRCA	ZNF585B|92285	1	mod3	0.508027894482273	1.02570676812454e-06	1.14381845657524e-05	0.227497818488064
BRCA	ZNF791|163049	1	mod3	0.478177606130868	1.13709093925983e-06	1.178771898217e-05	0.225839319307188
BRCA	ZNF662|389114	1	mod3	0.401294851662086	1.14036049129983e-06	1.178771898217e-05	0.225793083761659
BRCA	ZNF334|55713	1	mod3	0.238136933726101	1.1531464221688e-06	1.178771898217e-05	0.225613516156431
BRCA	ZNF670|93474	1	mod3	0.620462413448883	1.20260455922716e-06	1.19610399404214e-05	0.224936856348822
BRCA	ZNF619|285267	1	mod7	0.493758182784151	1.01003773204514e-05	4.95591847190149e-05	0.22234701699732
BRCA	ZNF260|339324	1	mod3	0.474148125909077	1.43852582692641e-06	1.39309869554978e-05	0.222044884159907
BRCA	ZNF345|25850	1	mod3	0.550774149564778	1.65142867949224e-06	1.55827116423883e-05	0.219810261372547
BRCA	ZNF347|84671	1	mod3	0.480225388636403	1.9353748449629e-06	1.75018150582307e-05	0.217234721671535
BRCA	ZNF525|170958	1	mod3	0.328648659136657	1.98554168986069e-06	1.75018150582307e-05	0.21681862807554
BRCA	ZNF844|284391	1	mod3	0.348406354746988	1.99748976208068e-06	1.75018150582307e-05	0.216721051690368
BRCA	ZNF320|162967	1	mod3	0.468262850717374	2.08631010977836e-06	1.76091321705908e-05	0.216013161980726
BRCA	ZNF432|9668	1	mod3	0.4502568769609	2.1054397160489e-06	1.76091321705908e-05	0.215864580598278
BRCA	ZNF37A|7587	1	mod3	0.505866381375771	2.19083139982353e-06	1.79161323363347e-05	0.21521711172876
BRCA	ZNF720|124411	1	mod3	0.777778994949164	2.64065863821111e-06	2.11252691056889e-05	0.212169729499743
BRCA	ZNF714|148206	1	mod3	0.302821085653196	2.85750139297056e-06	2.23736279279397e-05	0.210878907820605
BRCA	ZNF506|440515	1	mod3	0.696481430916016	3.27502221967027e-06	2.45960852416053e-05	0.208644099364102
BRCA	ZNF667|63934	1	mod3	0.297076961865276	3.4415439700223e-06	2.50350486375422e-05	0.207830062736305
BRCA	ZNF677|342926	1	mod3	0.525173505593031	3.52812674601009e-06	2.50350486375422e-05	0.207421975228996
BRCA	ZNF737|100129842	1	mod3	0.269967846886342	3.60559124399384e-06	2.50350486375422e-05	0.207065121051089
BRCA	ZNF354B|117608	1	mod3	0.446467600614838	3.77251609654649e-06	2.52071319733593e-05	0.206321093781326
BRCA	ZFP14|57677	1	mod3	0.415087226146335	3.82146018902019e-06	2.52071319733593e-05	0.206109065343386
BRCA	ZNF717|100131827	1	mod3	0.472223199638712	3.83586790898946e-06	2.52071319733593e-05	0.206047158584927
BRCA	ZIK1|284307	1	mod3	0.414313289539884	4.28090243370697e-06	2.74802920950867e-05	0.204239604944536
BRCA	ZNF354C|30832	1	mod3	0.288484869712821	4.3456963110718e-06	2.74802920950867e-05	0.20399196866209
BRCA	ZNF721|170960	1	mod3	0.490805365877756	4.40580770002749e-06	2.74802920950867e-05	0.20376545206304
BRCA	ZNF573|126231	1	mod3	0.342177031436587	4.53194796724609e-06	2.77959475324427e-05	0.203299833971107
BRCA	ZNF519|162655	1	mod3	0.459375610559646	4.85125783293714e-06	2.90286234094454e-05	0.202175841261476
BRCA	ZNF846|162993	1	mod3	0.563725838137344	4.89069198746092e-06	2.90286234094454e-05	0.202042105617493
BRCA	ZNF268|10795	1	mod3	0.485316795299342	5.03248681900372e-06	2.92851578897126e-05	0.201569832082975
BRCA	ZNF471|57573	1	mod3	0.428405270481222	5.09307093734131e-06	2.92851578897126e-05	0.201372021248632
BRCA	ZNF621|285268	1	mod3	0.50828624858931	5.43654617383395e-06	3.07792152610907e-05	0.200292506758771
