rep(cancerdir, nrow(sigplus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF431|170959	1	mod3	0.685574562386743	7.31956645957391e-10	2.6936004571232e-07	0.336356942772481
BRCA	ZNF417|147687	1	mod3	0.578059736473775	3.01539655756831e-09	3.69888644395046e-07	0.316266931849368
BRCA	ZNF81|347344	1	mod3	0.473026845284449	4.51102327024296e-09	4.15014140862352e-07	0.31044791933373
BRCA	ZNF829|374899	1	mod3	0.633351263161422	2.18773379318361e-08	1.38455400948874e-06	0.287191136146794
BRCA	ZNF587|84914	1	mod3	0.397987328240602	2.25742501547077e-08	1.38455400948874e-06	0.286721990297959
BRCA	ZNF737|100129842	1	mod3	0.396770685424359	3.27437185345228e-08	1.72138406010063e-06	0.281136448247857
BRCA	ZNF678|339500	1	mod3	0.552203177792566	6.07792560842202e-08	2.485196248777e-06	0.271758102069515
BRCA	ZNF354B|117608	1	mod3	0.643282415654095	7.17218632882266e-08	2.5608493335416e-06	0.269229241841556
BRCA	ZNF585B|92285	1	mod3	0.695788145923904	7.65471268178196e-08	2.5608493335416e-06	0.268232441760163
BRCA	ZNF611|81856	1	mod3	0.755544488958324	9.72956221919741e-08	2.98373241388721e-06	0.264549935752147
BRCA	ZNF841|284371	1	mod3	0.591781677317741	1.2387965741973e-07	3.50674722542005e-06	0.260824291004267
BRCA	ZNF432|9668	1	mod3	0.621475496069281	1.43930174002756e-07	3.78330743092959e-06	0.258501954992179
BRCA	ZKSCAN1|7586	1	mod3	0.362055239829278	2.36317064156758e-07	5.79764530731247e-06	0.250779470038901
BRCA	ZNF701|55762	1	mod3	0.801332412051821	4.20572345541669e-07	9.67316394745838e-06	0.241711840181937
BRCA	ZNF655|79027	1	mod3	0.836821901435992	5.82777073441251e-07	1.26154095897871e-05	0.236537989851781
BRCA	ZNF121|7675	1	mod3	0.449805750413422	7.10278983594461e-07	1.37569824190927e-05	0.233384680635027
BRCA	ZNF573|126231	1	mod2	0.458543835347386	6.70388423890811e-07	1.37057188884344e-05	0.232118203633231
BRCA	ZNF791|163049	1	mod3	0.607045090047923	9.47004694959542e-07	1.74248863872556e-05	0.228780036095812
BRCA	ZNF699|374879	1	mod3	0.535492240642268	1.11594949726565e-06	1.95556864282743e-05	0.226141474861819
BRCA	ZNF91|7644	1	mod3	0.446896066746233	1.8107946230872e-06	2.91687720121867e-05	0.218315673308383
BRCA	ZNF844|284391	1	mod3	0.438931862178588	2.0610703628839e-06	3.16030788975531e-05	0.216211262501601
BRCA	ZNF460|10794	1	mod2	0.543757671938002	1.82304825076167e-06	2.91687720121867e-05	0.216145674960227
BRCA	ZNF626|199777	1	mod3	0.450457924284737	2.15809133400487e-06	3.17671044365517e-05	0.215462378291792
BRCA	ZNF717|100131827	1	mod3	0.606203453375265	2.44395250507512e-06	3.45913277641401e-05	0.213434163628117
BRCA	ZNF41|7592	1	mod2	0.678915414155385	2.92566503605724e-06	3.98757308618172e-05	0.208495236101876
BRCA	ZNF221|7638	1	mod2	0.549341803306293	3.1628682938511e-06	4.15691261477573e-05	0.207228342116512
BRCA	ZNF720|124411	1	mod3	0.966948035427505	3.81756886759444e-06	4.84436325267157e-05	0.206125824825252
BRCA	ZNF749|388567	1	mod3	0.491530341178693	4.36260765088921e-06	5.35146538509076e-05	0.203927932200089
BRCA	ZNF141|7700	1	mod3	0.501790005965179	4.82559574027782e-06	5.68379922629385e-05	0.202263445929263
BRCA	ZNF813|126017	1	mod3	0.504322537087629	5.10511380888073e-06	5.69297539899427e-05	0.201332976231112
BRCA	ZNF727|442319	1	mod2	0.402977571123194	4.94243410982074e-06	5.68379922629385e-05	0.199941597044687
BRCA	ZNF75D|7626	1	mod3	0.909492653953328	7.33639734779904e-06	7.94057124702955e-05	0.195319704838373
BRCA	ZNF776|284309	1	mod3	0.463813296761324	9.56383428485554e-06	9.51213788331579e-05	0.19089941195351
BRCA	ZNF347|84671	1	mod2	0.561101776355914	8.92667770195596e-06	9.18893966654691e-05	0.190206222177236
BRCA	ZNF197|10168	1	mod2	0.856162601969035	8.9891801085785e-06	9.18893966654691e-05	0.190090750614411
