rep(cancerdir, nrow(sigminus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF32|7580	1	mod3	-0.847449732517105	1.87032018433458e-13	2.90191921640084e-12	0.442948446146366
BRCA	ZNF511|118472	1	mod3	-0.57334322692335	5.25602071005009e-11	4.71759907633764e-10	0.372254237129567
BRCA	ZNF747|65988	1	mod3	-0.676946679210551	8.55208043273783e-06	2.25573918364686e-05	0.192765911715181
COADREAD	ZNF511|118472	1	mod3	-0.816336701042819	1.16842735230347e-06	7.16635442746125e-05	0.575978591942206
KICHKIRCKIRP	ZNF267|10308	1	mod3	-0.292161802845246	1.78547139080374e-05	9.95535563357238e-05	0.140561480179802
LUADLUSC	ZNF511|118472	1	mod7	-0.767462256987498	7.22172250016071e-10	4.74570335724847e-09	0.358451769863615
LUADLUSC	ZNF32|7580	1	mod7	-0.623616738929431	2.5004023764678e-09	1.46055249927008e-08	0.340033078012891
LUADLUSC	ZNF627|199692	1	mod7	-0.496410322543367	3.49072977454304e-06	1.39629190981721e-05	0.222545635847345
LUADLUSC	ZNF468|90333	1	mod7	-0.759364611345902	7.44722897963191e-06	2.8547711088589e-05	0.209240887256288
THCA	ZNF511|118472	1	mod15	-0.531031943423701	8.35587139304753e-06	5.5908375866209e-05	0.394889424461049
