rep(cancerdir, nrow(sigminus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF511|118472	1	mod3	-0.885990977386221	9.15033040773299e-17	1.12244053001525e-14	0.526331640749921
BRCA	ZNF32|7580	1	mod7	-1.04667809079024	1.87328541911868e-11	5.74474195196394e-10	0.441068372024374
BRCA	ZNF768|79724	1	mod3	-0.69420577160745	2.38451692484192e-11	6.65970445696133e-10	0.38266053589162
BRCA	ZNF205|7755	1	mod7	-0.496715894442249	1.98215165821972e-06	1.0968478195734e-05	0.253021880906163
BRCA	ZNF777|27153	1	mod3	-0.550586892281997	6.7235150011378e-06	3.21331626028404e-05	0.196769775307909
BRCA	ZNF584|201514	1	mod3	-1.1512611214972	7.58756839887188e-06	3.57977585998058e-05	0.194759575980501
CHOLLIHC	ZNF768|79724	1	mod2	-0.874583710472746	9.57300162295666e-07	8.80700289530973e-05	0.346128368498381
LUADLUSC	ZNF32|7580	1	mod7	-0.69845292704324	8.75283496682236e-08	6.8532835484907e-07	0.284530082096766
LUADLUSC	ZNF627|199692	1	mod7	-0.676262992351103	1.52269844338172e-07	1.05726986257447e-06	0.275509757795474
LUADLUSC	ZNF511|118472	1	mod7	-0.799494166323315	4.01018530950205e-07	2.68317853435773e-06	0.25948696179759
LUADLUSC	ZNF561|93134	1	mod7	-1.16881248322229	9.05368104891165e-06	4.50237111621552e-05	0.205780570953824
LUADLUSC	ZNF28|7576	1	mod3	-1.09903212203042	1.48961103727255e-06	8.56526346431717e-06	0.200491757681526
LUADLUSC	ZFP1|162239	1	mod3	-1.00114834286272	9.83741653606677e-06	4.82689238036343e-05	0.172049693849656
